"Step","train-MLP_features_model_8_seed12_dev30_lambda0.0_random - QWK[Low]","train-MLP_features_model_8_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_features_model_8_seed12_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_features_model_7_seed12_dev30_lambda0.0_random - QWK[Low]","train-MLP_features_model_7_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_features_model_7_seed12_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_features_model_6_seed12_dev30_lambda0.0_random - QWK[Low]","train-MLP_features_model_6_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_features_model_6_seed12_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_features_model_5_seed12_dev30_lambda0.0_random - QWK[Low]","train-MLP_features_model_5_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_features_model_5_seed12_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_features_model_4_seed12_dev30_lambda0.0_random - QWK[Low]","train-MLP_features_model_4_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_features_model_4_seed12_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_features_model_3_seed12_dev30_lambda0.0_random - QWK[Low]","train-MLP_features_model_3_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_features_model_3_seed12_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_features_model_2_seed12_dev30_lambda0.0_random - QWK[Low]","train-MLP_features_model_2_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_features_model_2_seed12_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_features_model_1_seed12_dev30_lambda0.0_random - QWK[Low]","train-MLP_features_model_1_seed12_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_features_model_1_seed12_dev30_lambda0.0_random - QWK[Low]__MAX"
"0","0.39143275526721966","0.39143275526721966","0.39143275526721966","0.6449433685747104","0.6449433685747104","0.6449433685747104","0.5734087097526572","0.5734087097526572","0.5734087097526572","0.7082579833051555","0.7082579833051555","0.7082579833051555","0.5739345203102569","0.5739345203102569","0.5739345203102569","0.578309725820882","0.578309725820882","0.578309725820882","0.6507028735295839","0.6507028735295839","0.6507028735295839","0.7885978180797562","0.7885978180797562","0.7885978180797562"
"1","0.3523769257448588","0.3523769257448588","0.3523769257448588","0.6317477094128547","0.6317477094128547","0.6317477094128547","0.5298141819875247","0.5298141819875247","0.5298141819875247","0.6553792359314172","0.6553792359314172","0.6553792359314172","0.5836122738666283","0.5836122738666283","0.5836122738666283","0.6046491942736825","0.6046491942736825","0.6046491942736825","0.6472384830745737","0.6472384830745737","0.6472384830745737","0.7741712020894824","0.7741712020894824","0.7741712020894824"
"2","0.32691924226348734","0.32691924226348734","0.32691924226348734","0.6183317000871025","0.6183317000871025","0.6183317000871025","0.4642862178291155","0.4642862178291155","0.4642862178291155","0.6012269627524455","0.6012269627524455","0.6012269627524455","0.5945585162852631","0.5945585162852631","0.5945585162852631","0.6168811181382621","0.6168811181382621","0.6168811181382621","0.6196528381134687","0.6196528381134687","0.6196528381134687","0.7098425258026225","0.7098425258026225","0.7098425258026225"
"3","0.3094603755798999","0.3094603755798999","0.3094603755798999","0.6062622576984971","0.6062622576984971","0.6062622576984971","0.4478166157004637","0.4478166157004637","0.4478166157004637","0.5754566757596276","0.5754566757596276","0.5754566757596276","0.6039032805069553","0.6039032805069553","0.6039032805069553","0.6232778307094355","0.6232778307094355","0.6232778307094355","0.6201974692835994","0.6201974692835994","0.6201974692835994","0.6451732264065058","0.6451732264065058","0.6451732264065058"
"4","0.2974365900390935","0.2974365900390935","0.2974365900390935","0.6014681187073079","0.6014681187073079","0.6014681187073079","0.4458571866693928","0.4458571866693928","0.4458571866693928","0.5445138554848978","0.5445138554848978","0.5445138554848978","0.6192603483233793","0.6192603483233793","0.6192603483233793","0.6279887097336234","0.6279887097336234","0.6279887097336234","0.5851302659383335","0.5851302659383335","0.5851302659383335","0.5549770078080811","0.5549770078080811","0.5549770078080811"
"5","0.29834440901033576","0.29834440901033576","0.29834440901033576","0.6150429832212961","0.6150429832212961","0.6150429832212961","0.42709263937987696","0.42709263937987696","0.42709263937987696","0.5446505161884495","0.5446505161884495","0.5446505161884495","0.6286356690946803","0.6286356690946803","0.6286356690946803","0.6276942078055148","0.6276942078055148","0.6276942078055148","0.5574214689552012","0.5574214689552012","0.5574214689552012","0.5013660133064266","0.5013660133064266","0.5013660133064266"
"6","0.29666853012315964","0.29666853012315964","0.29666853012315964","0.6328359281944326","0.6328359281944326","0.6328359281944326","0.41241339793860377","0.41241339793860377","0.41241339793860377","0.5491517036191054","0.5491517036191054","0.5491517036191054","0.6403568396729855","0.6403568396729855","0.6403568396729855","0.6127826943229977","0.6127826943229977","0.6127826943229977","0.52135971016494","0.52135971016494","0.52135971016494","0.394337769111592","0.394337769111592","0.394337769111592"
"7","0.31295185271867765","0.31295185271867765","0.31295185271867765","0.6498571070002158","0.6498571070002158","0.6498571070002158","0.39430290303553417","0.39430290303553417","0.39430290303553417","0.5467826090649317","0.5467826090649317","0.5467826090649317","0.636288871922113","0.636288871922113","0.636288871922113","0.5441114481856986","0.5441114481856986","0.5441114481856986","0.5114027264619696","0.5114027264619696","0.5114027264619696","0.3317119852358269","0.3317119852358269","0.3317119852358269"
"8","0.3510945552333601","0.3510945552333601","0.3510945552333601","0.7022596824115079","0.7022596824115079","0.7022596824115079","0.3704793450453183","0.3704793450453183","0.3704793450453183","0.5388503600960256","0.5388503600960256","0.5388503600960256","0.603402414560193","0.603402414560193","0.603402414560193","0.23879994453777853","0.23879994453777853","0.23879994453777853","0.49772305282746543","0.49772305282746543","0.49772305282746543","0.30408327384281986","0.30408327384281986","0.30408327384281986"
"9","0.0223537656958831","0.0223537656958831","0.0223537656958831","0.6488541551035638","0.6488541551035638","0.6488541551035638","0.3561490821261688","0.3561490821261688","0.3561490821261688","0.5328693506661094","0.5328693506661094","0.5328693506661094","0.5648377263353515","0.5648377263353515","0.5648377263353515","-0.008238641811586511","-0.008238641811586511","-0.008238641811586511","0.44014977377123143","0.44014977377123143","0.44014977377123143","0.2528401100732376","0.2528401100732376","0.2528401100732376"
