"Step","train-PAES_features_model_7_seed32_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_7_seed32_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_7_seed32_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_8_seed32_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_8_seed32_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_8_seed32_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_2_seed32_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_2_seed32_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_2_seed32_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_3_seed32_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_3_seed32_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_3_seed32_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_4_seed32_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_4_seed32_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_4_seed32_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_6_seed32_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_6_seed32_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_6_seed32_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_5_seed32_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_5_seed32_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_5_seed32_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_1_seed32_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_1_seed32_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_1_seed32_dev30_lambda0.0_random - QWK[Low]__MAX"
"0","0.7484415760647705","0.7484415760647705","0.7484415760647705","0.6776250889686053","0.6776250889686053","0.6776250889686053","0.6090872264981216","0.6090872264981216","0.6090872264981216","0.6525159809867236","0.6525159809867236","0.6525159809867236","0.6365333830216271","0.6365333830216271","0.6365333830216271","0.5774954627949183","0.5774954627949183","0.5774954627949183","0.7448912844396767","0.7448912844396767","0.7448912844396767","0.7860668470734034","0.7860668470734034","0.7860668470734034"
"1","0.7303894309918586","0.7303894309918586","0.7303894309918586","0.6811397776988214","0.6811397776988214","0.6811397776988214","0.5925878999049732","0.5925878999049732","0.5925878999049732","0.6269877039266463","0.6269877039266463","0.6269877039266463","0.5677982946438638","0.5677982946438638","0.5677982946438638","0.6023663877380376","0.6023663877380376","0.6023663877380376","0.7124599276993384","0.7124599276993384","0.7124599276993384","0.7692768746210367","0.7692768746210367","0.7692768746210367"
"2","0.6529823389311387","0.6529823389311387","0.6529823389311387","0.6817016892582248","0.6817016892582248","0.6817016892582248","0.5437233366615231","0.5437233366615231","0.5437233366615231","0.4590070060683389","0.4590070060683389","0.4590070060683389","0.5512846895872228","0.5512846895872228","0.5512846895872228","0.5252340814030023","0.5252340814030023","0.5252340814030023","0.6916093061327151","0.6916093061327151","0.6916093061327151","0.6135468720191506","0.6135468720191506","0.6135468720191506"
"3","0.6794711824233752","0.6794711824233752","0.6794711824233752","0.6780312970359279","0.6780312970359279","0.6780312970359279","0.5302565453895236","0.5302565453895236","0.5302565453895236","0.21319906033179747","0.21319906033179747","0.21319906033179747","0.4964181567097238","0.4964181567097238","0.4964181567097238","0.48849938952940497","0.48849938952940497","0.48849938952940497","0.620922252532585","0.620922252532585","0.620922252532585","0.7067696077689407","0.7067696077689407","0.7067696077689407"
"4","0.583594716003456","0.583594716003456","0.583594716003456","0.6763579053782446","0.6763579053782446","0.6763579053782446","0.5381848952824202","0.5381848952824202","0.5381848952824202","0.2507589545866358","0.2507589545866358","0.2507589545866358","0.48089768024372204","0.48089768024372204","0.48089768024372204","0.3823418986999153","0.3823418986999153","0.3823418986999153","0.5576233783300026","0.5576233783300026","0.5576233783300026","0.606124443730367","0.606124443730367","0.606124443730367"
"5","0.4922281441741563","0.4922281441741563","0.4922281441741563","0.6557592900127849","0.6557592900127849","0.6557592900127849","0.5029244960710625","0.5029244960710625","0.5029244960710625","0.21248357747471402","0.21248357747471402","0.21248357747471402","0.3614923438957973","0.3614923438957973","0.3614923438957973","0.39261461947118104","0.39261461947118104","0.39261461947118104","0.5526333916615094","0.5526333916615094","0.5526333916615094","0.43074713228332107","0.43074713228332107","0.43074713228332107"
"6","0.3288420845161414","0.3288420845161414","0.3288420845161414","0.5771625734767694","0.5771625734767694","0.5771625734767694","0.48764873320781865","0.48764873320781865","0.48764873320781865","0.138977640330342","0.138977640330342","0.138977640330342","0.437708347361057","0.437708347361057","0.437708347361057","0.34985939331964","0.34985939331964","0.34985939331964","0.5491910435455385","0.5491910435455385","0.5491910435455385","0.38778456049308063","0.38778456049308063","0.38778456049308063"
"7","0.3196079615921762","0.3196079615921762","0.3196079615921762","0.4005375505406302","0.4005375505406302","0.4005375505406302","0.49473719015551465","0.49473719015551465","0.49473719015551465","0.01667860102501384","0.01667860102501384","0.01667860102501384","0.35576829845040225","0.35576829845040225","0.35576829845040225","0.31681285380397595","0.31681285380397595","0.31681285380397595","0.5428885173210063","0.5428885173210063","0.5428885173210063","0.2818817069974826","0.2818817069974826","0.2818817069974826"
"8","0.30127838409258423","0.30127838409258423","0.30127838409258423","0.5286115188203648","0.5286115188203648","0.5286115188203648","0.43050766938508167","0.43050766938508167","0.43050766938508167","0","0","0","0.4790367716070091","0.4790367716070091","0.4790367716070091","0.20224565745534617","0.20224565745534617","0.20224565745534617","0.5058814213373671","0.5058814213373671","0.5058814213373671","0.29665449489863693","0.29665449489863693","0.29665449489863693"
"9","0.2510895253305029","0.2510895253305029","0.2510895253305029","0.5909100043361397","0.5909100043361397","0.5909100043361397","0.44640646380400073","0.44640646380400073","0.44640646380400073","0","0","0","0.30273311707195527","0.30273311707195527","0.30273311707195527","0.1363783100748024","0.1363783100748024","0.1363783100748024","0.42235050268291263","0.42235050268291263","0.42235050268291263","0.312848093883784","0.312848093883784","0.312848093883784"
