"Step","train-PAES_features_model_8_seed22_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_8_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_8_seed22_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_7_seed22_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_7_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_7_seed22_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_6_seed22_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_6_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_6_seed22_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_5_seed22_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_5_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_5_seed22_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_4_seed22_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_4_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_4_seed22_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_3_seed22_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_3_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_3_seed22_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_2_seed22_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_2_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_2_seed22_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_1_seed22_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_1_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_1_seed22_dev30_lambda0.0_random - QWK[High]__MAX"
"0","0.6579102966797139","0.6579102966797139","0.6579102966797139","0.7543396327533092","0.7543396327533092","0.7543396327533092","0.5890516555489176","0.5890516555489176","0.5890516555489176","0.7156497612680802","0.7156497612680802","0.7156497612680802","0.6420014977376128","0.6420014977376128","0.6420014977376128","0.6511790800840532","0.6511790800840532","0.6511790800840532","0.5820548303848598","0.5820548303848598","0.5820548303848598","0.765977489294646","0.765977489294646","0.765977489294646"
"1","0.6752246380687787","0.6752246380687787","0.6752246380687787","0.751329321331284","0.751329321331284","0.751329321331284","0.5804031944223675","0.5804031944223675","0.5804031944223675","0.7398533227360962","0.7398533227360962","0.7398533227360962","0.6573568630597042","0.6573568630597042","0.6573568630597042","0.6077661292876826","0.6077661292876826","0.6077661292876826","0.6322077922077922","0.6322077922077922","0.6322077922077922","0.7871701072174517","0.7871701072174517","0.7871701072174517"
"2","0.6937829016425955","0.6937829016425955","0.6937829016425955","0.7235531717126797","0.7235531717126797","0.7235531717126797","0.5419356951766172","0.5419356951766172","0.5419356951766172","0.7157473359244229","0.7157473359244229","0.7157473359244229","0.6073907031166896","0.6073907031166896","0.6073907031166896","0.5842642059252063","0.5842642059252063","0.5842642059252063","0.6642713303308071","0.6642713303308071","0.6642713303308071","0.7523911151845688","0.7523911151845688","0.7523911151845688"
"3","0.6727393077848584","0.6727393077848584","0.6727393077848584","0.6462899024161066","0.6462899024161066","0.6462899024161066","0.5424771898562919","0.5424771898562919","0.5424771898562919","0.7010282356781459","0.7010282356781459","0.7010282356781459","0.6397600060040584","0.6397600060040584","0.6397600060040584","0.5482938114517062","0.5482938114517062","0.5482938114517062","0.6313160350238928","0.6313160350238928","0.6313160350238928","0.8039849907818002","0.8039849907818002","0.8039849907818002"
"4","0.648533047528675","0.648533047528675","0.648533047528675","0.6496196650660262","0.6496196650660262","0.6496196650660262","0.42641998967167116","0.42641998967167116","0.42641998967167116","0.7268201648851125","0.7268201648851125","0.7268201648851125","0.6393076225456231","0.6393076225456231","0.6393076225456231","0.5322705349582122","0.5322705349582122","0.5322705349582122","0.6092090283854092","0.6092090283854092","0.6092090283854092","0.7802431991976934","0.7802431991976934","0.7802431991976934"
"5","0.6027624740768107","0.6027624740768107","0.6027624740768107","0.5851695879172333","0.5851695879172333","0.5851695879172333","0.42455547632323043","0.42455547632323043","0.42455547632323043","0.7420169903232632","0.7420169903232632","0.7420169903232632","0.6538737692444119","0.6538737692444119","0.6538737692444119","0.5313831918691487","0.5313831918691487","0.5313831918691487","0.6137341910472154","0.6137341910472154","0.6137341910472154","0.6507291393455062","0.6507291393455062","0.6507291393455062"
"6","0.5780140598641674","0.5780140598641674","0.5780140598641674","0.517670777001616","0.517670777001616","0.517670777001616","0.42447636736283734","0.42447636736283734","0.42447636736283734","0.7208274472609506","0.7208274472609506","0.7208274472609506","0.6280291351967442","0.6280291351967442","0.6280291351967442","0.4486074934882789","0.4486074934882789","0.4486074934882789","0.6550998216693489","0.6550998216693489","0.6550998216693489","0.606380365240035","0.606380365240035","0.606380365240035"
"7","0.5005210667856241","0.5005210667856241","0.5005210667856241","0.48109465880769275","0.48109465880769275","0.48109465880769275","0.44259252434763097","0.44259252434763097","0.44259252434763097","0.7090311181686457","0.7090311181686457","0.7090311181686457","0.6476359830213914","0.6476359830213914","0.6476359830213914","0.4501520243238918","0.4501520243238918","0.4501520243238918","0.5536397886932719","0.5536397886932719","0.5536397886932719","0.6723850166647408","0.6723850166647408","0.6723850166647408"
"8","0.45275953724034934","0.45275953724034934","0.45275953724034934","0.463371701006824","0.463371701006824","0.463371701006824","0.3293776698978155","0.3293776698978155","0.3293776698978155","0.6731964557789908","0.6731964557789908","0.6731964557789908","0.6763675892722278","0.6763675892722278","0.6763675892722278","0.4804633204633204","0.4804633204633204","0.4804633204633204","0.5445904934765851","0.5445904934765851","0.5445904934765851","0.6780345128460148","0.6780345128460148","0.6780345128460148"
"9","0.41975911000398036","0.41975911000398036","0.41975911000398036","0.46115521713165586","0.46115521713165586","0.46115521713165586","0.304782012332363","0.304782012332363","0.304782012332363","0.6279553965681068","0.6279553965681068","0.6279553965681068","0.6484345008221561","0.6484345008221561","0.6484345008221561","0.4982133353607542","0.4982133353607542","0.4982133353607542","0.6033182056377855","0.6033182056377855","0.6033182056377855","0.09620757513359601","0.09620757513359601","0.09620757513359601"
