"Step","train-PAES_features_model_8_seed22_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_8_seed22_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_8_seed22_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_7_seed22_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_7_seed22_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_7_seed22_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_6_seed22_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_6_seed22_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_6_seed22_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_5_seed22_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_5_seed22_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_5_seed22_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_4_seed22_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_4_seed22_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_4_seed22_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_3_seed22_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_3_seed22_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_3_seed22_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_2_seed22_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_2_seed22_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_2_seed22_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_1_seed22_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_1_seed22_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_1_seed22_dev30_lambda0.0_random - QWK[Low]__MAX"
"0","0.6579102966797139","0.6579102966797139","0.6579102966797139","0.7543396327533092","0.7543396327533092","0.7543396327533092","0.5890516555489176","0.5890516555489176","0.5890516555489176","0.7156497612680802","0.7156497612680802","0.7156497612680802","0.6420014977376128","0.6420014977376128","0.6420014977376128","0.6511790800840532","0.6511790800840532","0.6511790800840532","0.5820548303848598","0.5820548303848598","0.5820548303848598","0.765977489294646","0.765977489294646","0.765977489294646"
"1","0.6617417535334811","0.6617417535334811","0.6617417535334811","0.7300219565609138","0.7300219565609138","0.7300219565609138","0.5728056550868614","0.5728056550868614","0.5728056550868614","0.690344651418771","0.690344651418771","0.690344651418771","0.5539410521418295","0.5539410521418295","0.5539410521418295","0.6103801374666853","0.6103801374666853","0.6103801374666853","0.6262873644827007","0.6262873644827007","0.6262873644827007","0.7301467349920767","0.7301467349920767","0.7301467349920767"
"2","0.6320274830879806","0.6320274830879806","0.6320274830879806","0.7422924379977522","0.7422924379977522","0.7422924379977522","0.6268394790471582","0.6268394790471582","0.6268394790471582","0.6420597667649857","0.6420597667649857","0.6420597667649857","0.5053565052254982","0.5053565052254982","0.5053565052254982","0.6649900006060239","0.6649900006060239","0.6649900006060239","0.5760012430563648","0.5760012430563648","0.5760012430563648","0.7495538235114033","0.7495538235114033","0.7495538235114033"
"3","0.6007954296551634","0.6007954296551634","0.6007954296551634","0.7374144522419429","0.7374144522419429","0.7374144522419429","0.601344395090069","0.601344395090069","0.601344395090069","0.651617365131171","0.651617365131171","0.651617365131171","0.5582429181848629","0.5582429181848629","0.5582429181848629","0.5993674222456511","0.5993674222456511","0.5993674222456511","0.561107596625077","0.561107596625077","0.561107596625077","0.6813387068578334","0.6813387068578334","0.6813387068578334"
"4","0.5776757230759706","0.5776757230759706","0.5776757230759706","0.7439406685264587","0.7439406685264587","0.7439406685264587","0.5430021367521367","0.5430021367521367","0.5430021367521367","0.6884482317086802","0.6884482317086802","0.6884482317086802","0.5377053972808308","0.5377053972808308","0.5377053972808308","0.6113447643696754","0.6113447643696754","0.6113447643696754","0.5733582594168887","0.5733582594168887","0.5733582594168887","0.6238541651662821","0.6238541651662821","0.6238541651662821"
"5","0.5548138532054279","0.5548138532054279","0.5548138532054279","0.7044120659208639","0.7044120659208639","0.7044120659208639","0.5802189901289676","0.5802189901289676","0.5802189901289676","0.6971977313751816","0.6971977313751816","0.6971977313751816","0.5087966886753494","0.5087966886753494","0.5087966886753494","0.5873658635351287","0.5873658635351287","0.5873658635351287","0.5631604715098106","0.5631604715098106","0.5631604715098106","0.5720805925577261","0.5720805925577261","0.5720805925577261"
"6","0.48361315376001157","0.48361315376001157","0.48361315376001157","0.6647257867402722","0.6647257867402722","0.6647257867402722","0.4977147516782724","0.4977147516782724","0.4977147516782724","0.7083383984959759","0.7083383984959759","0.7083383984959759","0.5352938298772603","0.5352938298772603","0.5352938298772603","0.5489500954458686","0.5489500954458686","0.5489500954458686","0.5234511710500229","0.5234511710500229","0.5234511710500229","0.46044165386585656","0.46044165386585656","0.46044165386585656"
"7","0.43945507125068983","0.43945507125068983","0.43945507125068983","0.6244392593811299","0.6244392593811299","0.6244392593811299","0.3435346754050833","0.3435346754050833","0.3435346754050833","0.7356624208678133","0.7356624208678133","0.7356624208678133","0.5659223613077412","0.5659223613077412","0.5659223613077412","0.6221749666188616","0.6221749666188616","0.6221749666188616","0.3070912000361883","0.3070912000361883","0.3070912000361883","0.4569117293059395","0.4569117293059395","0.4569117293059395"
"8","0.351127511792524","0.351127511792524","0.351127511792524","0.6076772928248518","0.6076772928248518","0.6076772928248518","0.20772712784736125","0.20772712784736125","0.20772712784736125","0.7224225045703586","0.7224225045703586","0.7224225045703586","0.5097544588408655","0.5097544588408655","0.5097544588408655","0.5841381755981561","0.5841381755981561","0.5841381755981561","0.2879586288893634","0.2879586288893634","0.2879586288893634","0.4657483280846163","0.4657483280846163","0.4657483280846163"
"9","0.15176245936450594","0.15176245936450594","0.15176245936450594","0.504138992548894","0.504138992548894","0.504138992548894","0.17277799509995684","0.17277799509995684","0.17277799509995684","0.7239324256305948","0.7239324256305948","0.7239324256305948","0.5310123914014908","0.5310123914014908","0.5310123914014908","0.34945842495317203","0.34945842495317203","0.34945842495317203","0.08254784073438359","0.08254784073438359","0.08254784073438359","0.44233438295264493","0.44233438295264493","0.44233438295264493"
