"Step","train-MLP_features_model_8_seed52_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_8_seed52_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_8_seed52_dev30_lambda0.5_random - QWK[Low]__MAX","train-MLP_features_model_7_seed52_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_7_seed52_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_7_seed52_dev30_lambda0.5_random - QWK[Low]__MAX","train-MLP_features_model_6_seed52_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_6_seed52_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_6_seed52_dev30_lambda0.5_random - QWK[Low]__MAX","train-MLP_features_model_5_seed52_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_5_seed52_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_5_seed52_dev30_lambda0.5_random - QWK[Low]__MAX","train-MLP_features_model_4_seed52_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_4_seed52_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_4_seed52_dev30_lambda0.5_random - QWK[Low]__MAX","train-MLP_features_model_3_seed52_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_3_seed52_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_3_seed52_dev30_lambda0.5_random - QWK[Low]__MAX","train-MLP_features_model_2_seed52_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_2_seed52_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_2_seed52_dev30_lambda0.5_random - QWK[Low]__MAX","train-MLP_features_model_1_seed52_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_1_seed52_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_1_seed52_dev30_lambda0.5_random - QWK[Low]__MAX"
"0","0.38634524008650806","0.38634524008650806","0.38634524008650806","0.6688031839575205","0.6688031839575205","0.6688031839575205","0.5678271466395469","0.5678271466395469","0.5678271466395469","0.7068893514873107","0.7068893514873107","0.7068893514873107","0.577671189534953","0.577671189534953","0.577671189534953","0.5697330686079859","0.5697330686079859","0.5697330686079859","0.6490396508714051","0.6490396508714051","0.6490396508714051","0.7805871259277004","0.7805871259277004","0.7805871259277004"
"1","0.4094217446354528","0.4094217446354528","0.4094217446354528","0.6830059468217734","0.6830059468217734","0.6830059468217734","0.523948044208399","0.523948044208399","0.523948044208399","0.6802896599574056","0.6802896599574056","0.6802896599574056","0.5550542693071994","0.5550542693071994","0.5550542693071994","0.5063041623096431","0.5063041623096431","0.5063041623096431","0.636346478432726","0.636346478432726","0.636346478432726","0.7650010409902024","0.7650010409902024","0.7650010409902024"
"2","0.43846407156146905","0.43846407156146905","0.43846407156146905","0.6677256738798801","0.6677256738798801","0.6677256738798801","0.4396754693265177","0.4396754693265177","0.4396754693265177","0.6148632221992641","0.6148632221992641","0.6148632221992641","0.561440999161394","0.561440999161394","0.561440999161394","0.41328413284132837","0.41328413284132837","0.41328413284132837","0.6058741771088102","0.6058741771088102","0.6058741771088102","0.701110254911339","0.701110254911339","0.701110254911339"
"3","0.4945020560178327","0.4945020560178327","0.4945020560178327","0.6762256089587008","0.6762256089587008","0.6762256089587008","0.42856527915285614","0.42856527915285614","0.42856527915285614","0.6037022300441668","0.6037022300441668","0.6037022300441668","0.5541087517305172","0.5541087517305172","0.5541087517305172","0.2316393181456109","0.2316393181456109","0.2316393181456109","0.5886744928709576","0.5886744928709576","0.5886744928709576","0.6876335002767346","0.6876335002767346","0.6876335002767346"
"4","0.5554249845249148","0.5554249845249148","0.5554249845249148","0.6781640549017701","0.6781640549017701","0.6781640549017701","0.45535409430130225","0.45535409430130225","0.45535409430130225","0.6052979522170625","0.6052979522170625","0.6052979522170625","0.5476803103766754","0.5476803103766754","0.5476803103766754","0.15126405554297795","0.15126405554297795","0.15126405554297795","0.5460393493859763","0.5460393493859763","0.5460393493859763","0.6324487699857428","0.6324487699857428","0.6324487699857428"
"5","0.5812792672795271","0.5812792672795271","0.5812792672795271","0.6467258431484522","0.6467258431484522","0.6467258431484522","0.45528842038193107","0.45528842038193107","0.45528842038193107","0.6152587957078395","0.6152587957078395","0.6152587957078395","0.5428930997210435","0.5428930997210435","0.5428930997210435","0.13848052284395407","0.13848052284395407","0.13848052284395407","0.5214814473948666","0.5214814473948666","0.5214814473948666","0.5765918178699098","0.5765918178699098","0.5765918178699098"
"6","0.5805360872329446","0.5805360872329446","0.5805360872329446","0.6062401445099589","0.6062401445099589","0.6062401445099589","0.42910308894678073","0.42910308894678073","0.42910308894678073","0.6159664429647438","0.6159664429647438","0.6159664429647438","0.5533869764442572","0.5533869764442572","0.5533869764442572","0.1065805534525116","0.1065805534525116","0.1065805534525116","0.47334905398040106","0.47334905398040106","0.47334905398040106","0.4852023920600904","0.4852023920600904","0.4852023920600904"
"7","0.555876113610424","0.555876113610424","0.555876113610424","0.5628119063107754","0.5628119063107754","0.5628119063107754","0.40699052301047156","0.40699052301047156","0.40699052301047156","0.6091816061190195","0.6091816061190195","0.6091816061190195","0.5542571520177387","0.5542571520177387","0.5542571520177387","0.08600706051423035","0.08600706051423035","0.08600706051423035","0.47278409843985825","0.47278409843985825","0.47278409843985825","0.4624819133650041","0.4624819133650041","0.4624819133650041"
"8","0.5206689551410855","0.5206689551410855","0.5206689551410855","0.5171863958947971","0.5171863958947971","0.5171863958947971","0.41298080781956503","0.41298080781956503","0.41298080781956503","0.5779306560442241","0.5779306560442241","0.5779306560442241","0.5461415479135243","0.5461415479135243","0.5461415479135243","0.06835774305938735","0.06835774305938735","0.06835774305938735","0.45799915576192496","0.45799915576192496","0.45799915576192496","0.46088456908120123","0.46088456908120123","0.46088456908120123"
"9","0.5042851805764264","0.5042851805764264","0.5042851805764264","0.5104840869142148","0.5104840869142148","0.5104840869142148","0.3822657787392647","0.3822657787392647","0.3822657787392647","0.5460326801902132","0.5460326801902132","0.5460326801902132","0.5457623015217765","0.5457623015217765","0.5457623015217765","0.05169320653468179","0.05169320653468179","0.05169320653468179","0.438108036545541","0.438108036545541","0.438108036545541","0.4208801528011108","0.4208801528011108","0.4208801528011108"
