"Step","train-Transformer_mlp_8_seed32_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_8_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_8_seed32_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_7_seed32_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_7_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_7_seed32_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_6_seed32_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_6_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_6_seed32_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_5_seed32_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_5_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_5_seed32_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_4_seed32_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_4_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_4_seed32_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_3_seed32_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_3_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_3_seed32_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_2_seed32_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_2_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_2_seed32_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_1_seed32_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_1_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_1_seed32_dev30_lambda0.0_random - QWK[High]__MAX"
"0","0.3605796975607938","0.3605796975607938","0.3605796975607938","0.7091355812145888","0.7091355812145888","0.7091355812145888","0.6054824662533845","0.6054824662533845","0.6054824662533845","0.6504859399829577","0.6504859399829577","0.6504859399829577","0.6036567582096004","0.6036567582096004","0.6036567582096004","0.5437984852832108","0.5437984852832108","0.5437984852832108","0.41179341604251973","0.41179341604251973","0.41179341604251973","0.6193519361198366","0.6193519361198366","0.6193519361198366"
"1","0.34972152224659003","0.34972152224659003","0.34972152224659003","0.7323527588139818","0.7323527588139818","0.7323527588139818","0.6024253224829622","0.6024253224829622","0.6024253224829622","0.6605078065879919","0.6605078065879919","0.6605078065879919","0.6398305949296766","0.6398305949296766","0.6398305949296766","0.5481906158997039","0.5481906158997039","0.5481906158997039","0.48796126141835794","0.48796126141835794","0.48796126141835794","0.652147889690988","0.652147889690988","0.652147889690988"
"2","0.3695220780628037","0.3695220780628037","0.3695220780628037","0.655085116565256","0.655085116565256","0.655085116565256","0.5611942642198953","0.5611942642198953","0.5611942642198953","0.7167065007417208","0.7167065007417208","0.7167065007417208","0.6545141129746512","0.6545141129746512","0.6545141129746512","0.5777091293076144","0.5777091293076144","0.5777091293076144","0.44427398378130256","0.44427398378130256","0.44427398378130256","0.5241895408257353","0.5241895408257353","0.5241895408257353"
"3","0.46514718113736875","0.46514718113736875","0.46514718113736875","0.6412960285738583","0.6412960285738583","0.6412960285738583","0.4881856933943184","0.4881856933943184","0.4881856933943184","0.7201694024570391","0.7201694024570391","0.7201694024570391","0.630762237016746","0.630762237016746","0.630762237016746","0.6296751096083502","0.6296751096083502","0.6296751096083502","0.5017578885971241","0.5017578885971241","0.5017578885971241","0.6484565725700026","0.6484565725700026","0.6484565725700026"
"4","0.5802723950398135","0.5802723950398135","0.5802723950398135","0.6536711400929239","0.6536711400929239","0.6536711400929239","0.547219676035889","0.547219676035889","0.547219676035889","0.7456234536549433","0.7456234536549433","0.7456234536549433","0.6722918460647516","0.6722918460647516","0.6722918460647516","0.6363500664437328","0.6363500664437328","0.6363500664437328","0.5062547055076156","0.5062547055076156","0.5062547055076156","0.6207401226114446","0.6207401226114446","0.6207401226114446"
"5","0.4771176078610856","0.4771176078610856","0.4771176078610856","0.6168592067528814","0.6168592067528814","0.6168592067528814","0.5461972307398174","0.5461972307398174","0.5461972307398174","0.7456297477622726","0.7456297477622726","0.7456297477622726","0.6453116298658118","0.6453116298658118","0.6453116298658118","0.6229034347418385","0.6229034347418385","0.6229034347418385","0.537070323544856","0.537070323544856","0.537070323544856","0.6086250238259763","0.6086250238259763","0.6086250238259763"
"6","0.48909302282007516","0.48909302282007516","0.48909302282007516","0.639867526604745","0.639867526604745","0.639867526604745","0.5681832691984005","0.5681832691984005","0.5681832691984005","0.7770803269093607","0.7770803269093607","0.7770803269093607","0.5923040426480739","0.5923040426480739","0.5923040426480739","0.6250872139210688","0.6250872139210688","0.6250872139210688","0.5570861178511881","0.5570861178511881","0.5570861178511881","0.6640273640550951","0.6640273640550951","0.6640273640550951"
"7","0.5522709448625787","0.5522709448625787","0.5522709448625787","0.6197424022604741","0.6197424022604741","0.6197424022604741","0.556776997597745","0.556776997597745","0.556776997597745","0.790330449808207","0.790330449808207","0.790330449808207","0.5196878941550287","0.5196878941550287","0.5196878941550287","0.6682314152270447","0.6682314152270447","0.6682314152270447","0.6132280608847058","0.6132280608847058","0.6132280608847058","0.6441155471953266","0.6441155471953266","0.6441155471953266"
"8","0.4968350902007257","0.4968350902007257","0.4968350902007257","0.5936280457972058","0.5936280457972058","0.5936280457972058","0.46076016251454843","0.46076016251454843","0.46076016251454843","0.7851615343880538","0.7851615343880538","0.7851615343880538","0.5354966778384109","0.5354966778384109","0.5354966778384109","0.6531887723556687","0.6531887723556687","0.6531887723556687","0.6333408807334145","0.6333408807334145","0.6333408807334145","0.6381353305168285","0.6381353305168285","0.6381353305168285"
"9","0.44174009384864077","0.44174009384864077","0.44174009384864077","0.6398782220726289","0.6398782220726289","0.6398782220726289","0.6231447259191109","0.6231447259191109","0.6231447259191109","0.7714532261513316","0.7714532261513316","0.7714532261513316","0.511923724615321","0.511923724615321","0.511923724615321","0.6072962321159956","0.6072962321159956","0.6072962321159956","0.528871103314695","0.528871103314695","0.528871103314695","0.5901986869368714","0.5901986869368714","0.5901986869368714"
