"Step","train-MLP_features_model_8_seed32_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_8_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_8_seed32_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_7_seed32_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_7_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_7_seed32_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_6_seed32_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_6_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_6_seed32_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_5_seed32_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_5_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_5_seed32_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_4_seed32_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_4_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_4_seed32_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_3_seed32_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_3_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_3_seed32_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_2_seed32_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_2_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_2_seed32_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_1_seed32_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_1_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_1_seed32_dev30_lambda0.0_random - QWK[High]__MAX"
"0","0.3894393136658756","0.3894393136658756","0.3894393136658756","0.6592174039619421","0.6592174039619421","0.6592174039619421","0.5695588559517367","0.5695588559517367","0.5695588559517367","0.7054103636825555","0.7054103636825555","0.7054103636825555","0.5774251512052313","0.5774251512052313","0.5774251512052313","0.5720556727491035","0.5720556727491035","0.5720556727491035","0.6425493213935918","0.6425493213935918","0.6425493213935918","0.7731045804351745","0.7731045804351745","0.7731045804351745"
"1","0.38880993784255624","0.38880993784255624","0.38880993784255624","0.6373645388113733","0.6373645388113733","0.6373645388113733","0.5665602820611964","0.5665602820611964","0.5665602820611964","0.7172720025002285","0.7172720025002285","0.7172720025002285","0.5816425637277189","0.5816425637277189","0.5816425637277189","0.5716585690955296","0.5716585690955296","0.5716585690955296","0.6359250237894141","0.6359250237894141","0.6359250237894141","0.7761277706690515","0.7761277706690515","0.7761277706690515"
"2","0.40128585687064955","0.40128585687064955","0.40128585687064955","0.628895397271212","0.628895397271212","0.628895397271212","0.5777458833569309","0.5777458833569309","0.5777458833569309","0.7265086961596825","0.7265086961596825","0.7265086961596825","0.5873288151874573","0.5873288151874573","0.5873288151874573","0.5774672534583327","0.5774672534583327","0.5774672534583327","0.6239507419967771","0.6239507419967771","0.6239507419967771","0.7528982372856683","0.7528982372856683","0.7528982372856683"
"3","0.40501112374532866","0.40501112374532866","0.40501112374532866","0.6406686843703855","0.6406686843703855","0.6406686843703855","0.5847415176052095","0.5847415176052095","0.5847415176052095","0.738141135423267","0.738141135423267","0.738141135423267","0.6033446132971643","0.6033446132971643","0.6033446132971643","0.5864452813156013","0.5864452813156013","0.5864452813156013","0.6166212489832872","0.6166212489832872","0.6166212489832872","0.7702133828028839","0.7702133828028839","0.7702133828028839"
"4","0.40872891626360186","0.40872891626360186","0.40872891626360186","0.6240937975476595","0.6240937975476595","0.6240937975476595","0.5889577815859168","0.5889577815859168","0.5889577815859168","0.7411323152537767","0.7411323152537767","0.7411323152537767","0.6275915685080846","0.6275915685080846","0.6275915685080846","0.5940859062231181","0.5940859062231181","0.5940859062231181","0.5987613998308698","0.5987613998308698","0.5987613998308698","0.7691666581802343","0.7691666581802343","0.7691666581802343"
"5","0.40930799518306094","0.40930799518306094","0.40930799518306094","0.6209421330678198","0.6209421330678198","0.6209421330678198","0.5958830232600654","0.5958830232600654","0.5958830232600654","0.7309931367016882","0.7309931367016882","0.7309931367016882","0.6337753487508414","0.6337753487508414","0.6337753487508414","0.6063639622711483","0.6063639622711483","0.6063639622711483","0.5769005481650522","0.5769005481650522","0.5769005481650522","0.7704287433005097","0.7704287433005097","0.7704287433005097"
"6","0.4138171043652399","0.4138171043652399","0.4138171043652399","0.6365902934195031","0.6365902934195031","0.6365902934195031","0.6173661156685567","0.6173661156685567","0.6173661156685567","0.7204693072763662","0.7204693072763662","0.7204693072763662","0.6372241829036396","0.6372241829036396","0.6372241829036396","0.6091755926373552","0.6091755926373552","0.6091755926373552","0.5575504172521777","0.5575504172521777","0.5575504172521777","0.7488989799939514","0.7488989799939514","0.7488989799939514"
"7","0.41713407317349305","0.41713407317349305","0.41713407317349305","0.622891093125271","0.622891093125271","0.622891093125271","0.5950308397734863","0.5950308397734863","0.5950308397734863","0.6986742156532975","0.6986742156532975","0.6986742156532975","0.61505572952156","0.61505572952156","0.61505572952156","0.6169207013821131","0.6169207013821131","0.6169207013821131","0.5188123589357174","0.5188123589357174","0.5188123589357174","0.7520826671427645","0.7520826671427645","0.7520826671427645"
"8","0.22585449510696265","0.22585449510696265","0.22585449510696265","0.6911814087957606","0.6911814087957606","0.6911814087957606","0.5245931333534595","0.5245931333534595","0.5245931333534595","0.683156376913604","0.683156376913604","0.683156376913604","0.5092848425701338","0.5092848425701338","0.5092848425701338","0.5765219613035096","0.5765219613035096","0.5765219613035096","0.4356019379661549","0.4356019379661549","0.4356019379661549","0.7696673378286648","0.7696673378286648","0.7696673378286648"
"9","0.023938664285705458","0.023938664285705458","0.023938664285705458","0.6948787205214264","0.6948787205214264","0.6948787205214264","0.004839254414617855","0.004839254414617855","0.004839254414617855","0.6199468036999318","0.6199468036999318","0.6199468036999318","0.2561850500308558","0.2561850500308558","0.2561850500308558","0.3429743357870384","0.3429743357870384","0.3429743357870384","0.3399444819901586","0.3399444819901586","0.3399444819901586","0.663195511835229","0.663195511835229","0.663195511835229"
