"Step","train-Transformer_mlp_8_seed42_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_8_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_8_seed42_dev30_lambda0.0_random - QWK[Low]__MAX","train-Transformer_mlp_7_seed42_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_7_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_7_seed42_dev30_lambda0.0_random - QWK[Low]__MAX","train-Transformer_mlp_6_seed42_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_6_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_6_seed42_dev30_lambda0.0_random - QWK[Low]__MAX","train-Transformer_mlp_5_seed42_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_5_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_5_seed42_dev30_lambda0.0_random - QWK[Low]__MAX","train-Transformer_mlp_4_seed42_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_4_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_4_seed42_dev30_lambda0.0_random - QWK[Low]__MAX","train-Transformer_mlp_3_seed42_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_3_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_3_seed42_dev30_lambda0.0_random - QWK[Low]__MAX","train-Transformer_mlp_2_seed42_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_2_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_2_seed42_dev30_lambda0.0_random - QWK[Low]__MAX","train-Transformer_mlp_1_seed42_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_1_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_1_seed42_dev30_lambda0.0_random - QWK[Low]__MAX"
"0","0.5787954545692379","0.5787954545692379","0.5787954545692379","0.6220072835811465","0.6220072835811465","0.6220072835811465","0.5650543098066547","0.5650543098066547","0.5650543098066547","0.538778353092698","0.538778353092698","0.538778353092698","0.5558379711432162","0.5558379711432162","0.5558379711432162","0.54334747513428","0.54334747513428","0.54334747513428","0.4978739853111712","0.4978739853111712","0.4978739853111712","0.5655476448154014","0.5655476448154014","0.5655476448154014"
"1","0.44299865913946923","0.44299865913946923","0.44299865913946923","0.6198649862444217","0.6198649862444217","0.6198649862444217","0.5545485720575721","0.5545485720575721","0.5545485720575721","0.684318261113855","0.684318261113855","0.684318261113855","0.585982290823849","0.585982290823849","0.585982290823849","0.5669098545849051","0.5669098545849051","0.5669098545849051","0.4589749891325554","0.4589749891325554","0.4589749891325554","0.5665742416914635","0.5665742416914635","0.5665742416914635"
"2","0.4826591272760733","0.4826591272760733","0.4826591272760733","0.5903677986107101","0.5903677986107101","0.5903677986107101","0.5321576518588571","0.5321576518588571","0.5321576518588571","0.7129676320172282","0.7129676320172282","0.7129676320172282","0.5983461328854505","0.5983461328854505","0.5983461328854505","0.641582506628534","0.641582506628534","0.641582506628534","0.40921050830927064","0.40921050830927064","0.40921050830927064","0.5251738823198847","0.5251738823198847","0.5251738823198847"
"3","0.3851682266220413","0.3851682266220413","0.3851682266220413","0.551942320067172","0.551942320067172","0.551942320067172","0.5563167778809764","0.5563167778809764","0.5563167778809764","0.7130845694711205","0.7130845694711205","0.7130845694711205","0.5903168777210007","0.5903168777210007","0.5903168777210007","0.6273793117222921","0.6273793117222921","0.6273793117222921","0.28411839365580993","0.28411839365580993","0.28411839365580993","0.6473374238727713","0.6473374238727713","0.6473374238727713"
"4","0.5680298990055865","0.5680298990055865","0.5680298990055865","0.6367679919520145","0.6367679919520145","0.6367679919520145","0.5412137420040595","0.5412137420040595","0.5412137420040595","0.7286218031472","0.7286218031472","0.7286218031472","0.5757591941984962","0.5757591941984962","0.5757591941984962","0.657890618887411","0.657890618887411","0.657890618887411","0.2220268463956926","0.2220268463956926","0.2220268463956926","0.54636819991897","0.54636819991897","0.54636819991897"
"5","0.5850718875206903","0.5850718875206903","0.5850718875206903","0.6101562485023254","0.6101562485023254","0.6101562485023254","0.38646980776455564","0.38646980776455564","0.38646980776455564","0.7134299868063279","0.7134299868063279","0.7134299868063279","0.5341814148353966","0.5341814148353966","0.5341814148353966","0.6883160113917964","0.6883160113917964","0.6883160113917964","0.15221884319828105","0.15221884319828105","0.15221884319828105","0.6061241617306046","0.6061241617306046","0.6061241617306046"
"6","0.5672380971958702","0.5672380971958702","0.5672380971958702","0.7141906374260835","0.7141906374260835","0.7141906374260835","0.31995234239957915","0.31995234239957915","0.31995234239957915","0.7299977591019786","0.7299977591019786","0.7299977591019786","0.4654543488007369","0.4654543488007369","0.4654543488007369","0.6932570950421867","0.6932570950421867","0.6932570950421867","0.13430131324633887","0.13430131324633887","0.13430131324633887","0.5110076260587967","0.5110076260587967","0.5110076260587967"
"7","0.48469546514153716","0.48469546514153716","0.48469546514153716","0.6466154856224976","0.6466154856224976","0.6466154856224976","0.2953323388752379","0.2953323388752379","0.2953323388752379","0.7266061239774102","0.7266061239774102","0.7266061239774102","0.3787255351853316","0.3787255351853316","0.3787255351853316","0.6973613591771735","0.6973613591771735","0.6973613591771735","0.05362705034960957","0.05362705034960957","0.05362705034960957","0.6076584060873236","0.6076584060873236","0.6076584060873236"
"8","0.4666753997212292","0.4666753997212292","0.4666753997212292","0.5235729363282906","0.5235729363282906","0.5235729363282906","0.0033226308076119704","0.0033226308076119704","0.0033226308076119704","0.7044017655516028","0.7044017655516028","0.7044017655516028","0.2700201437943175","0.2700201437943175","0.2700201437943175","0.6855059252506837","0.6855059252506837","0.6855059252506837","0.0340214563144986","0.0340214563144986","0.0340214563144986","0.6124148761357197","0.6124148761357197","0.6124148761357197"
"9","0.4015097602502665","0.4015097602502665","0.4015097602502665","0.05676256669223878","0.05676256669223878","0.05676256669223878","-0.15533929007045044","-0.15533929007045044","-0.15533929007045044","0.7006480645473112","0.7006480645473112","0.7006480645473112","0","0","0","0.6731334560394986","0.6731334560394986","0.6731334560394986","0.007842825441113921","0.007842825441113921","0.007842825441113921","0.4601305470612652","0.4601305470612652","0.4601305470612652"
