"Step","train-MLP_features_model_8_seed32_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_8_seed32_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_8_seed32_dev30_lambda0.5_random - QWK[High]__MAX","train-MLP_features_model_7_seed32_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_7_seed32_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_7_seed32_dev30_lambda0.5_random - QWK[High]__MAX","train-MLP_features_model_6_seed32_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_6_seed32_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_6_seed32_dev30_lambda0.5_random - QWK[High]__MAX","train-MLP_features_model_5_seed32_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_5_seed32_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_5_seed32_dev30_lambda0.5_random - QWK[High]__MAX","train-MLP_features_model_4_seed32_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_4_seed32_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_4_seed32_dev30_lambda0.5_random - QWK[High]__MAX","train-MLP_features_model_3_seed32_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_3_seed32_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_3_seed32_dev30_lambda0.5_random - QWK[High]__MAX","train-MLP_features_model_2_seed32_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_2_seed32_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_2_seed32_dev30_lambda0.5_random - QWK[High]__MAX","train-MLP_features_model_1_seed32_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_1_seed32_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_1_seed32_dev30_lambda0.5_random - QWK[High]__MAX"
"0","0.3894393136658756","0.3894393136658756","0.3894393136658756","0.6592174039619421","0.6592174039619421","0.6592174039619421","0.5695588559517367","0.5695588559517367","0.5695588559517367","0.7054103636825555","0.7054103636825555","0.7054103636825555","0.5774251512052313","0.5774251512052313","0.5774251512052313","0.5720556727491035","0.5720556727491035","0.5720556727491035","0.6425493213935918","0.6425493213935918","0.6425493213935918","0.7731045804351745","0.7731045804351745","0.7731045804351745"
"1","0.3807571812863413","0.3807571812863413","0.3807571812863413","0.6392269243290288","0.6392269243290288","0.6392269243290288","0.5687299379766275","0.5687299379766275","0.5687299379766275","0.717057455502407","0.717057455502407","0.717057455502407","0.5836541973086355","0.5836541973086355","0.5836541973086355","0.5722833093507551","0.5722833093507551","0.5722833093507551","0.6383771319081621","0.6383771319081621","0.6383771319081621","0.7667990566947249","0.7667990566947249","0.7667990566947249"
"2","0.35545475443357766","0.35545475443357766","0.35545475443357766","0.6279481623426582","0.6279481623426582","0.6279481623426582","0.5722688482062017","0.5722688482062017","0.5722688482062017","0.7288693974411802","0.7288693974411802","0.7288693974411802","0.5896920912703751","0.5896920912703751","0.5896920912703751","0.5744416972936852","0.5744416972936852","0.5744416972936852","0.6248425417528041","0.6248425417528041","0.6248425417528041","0.754157528869143","0.754157528869143","0.754157528869143"
"3","0.34008630604523915","0.34008630604523915","0.34008630604523915","0.6411204561407216","0.6411204561407216","0.6411204561407216","0.581818640020665","0.581818640020665","0.581818640020665","0.7377123078699983","0.7377123078699983","0.7377123078699983","0.6051114524361525","0.6051114524361525","0.6051114524361525","0.5852707102297386","0.5852707102297386","0.5852707102297386","0.6165151263477942","0.6165151263477942","0.6165151263477942","0.7817862218517011","0.7817862218517011","0.7817862218517011"
"4","0.33077005217328936","0.33077005217328936","0.33077005217328936","0.6221331926741916","0.6221331926741916","0.6221331926741916","0.586775231870411","0.586775231870411","0.586775231870411","0.7343379680947513","0.7343379680947513","0.7343379680947513","0.6271186523368417","0.6271186523368417","0.6271186523368417","0.5933488420874395","0.5933488420874395","0.5933488420874395","0.6030180363519941","0.6030180363519941","0.6030180363519941","0.7787744987678825","0.7787744987678825","0.7787744987678825"
"5","0.3297699630339994","0.3297699630339994","0.3297699630339994","0.6245466686332072","0.6245466686332072","0.6245466686332072","0.5980636930233125","0.5980636930233125","0.5980636930233125","0.7283210685098138","0.7283210685098138","0.7283210685098138","0.6350668456510995","0.6350668456510995","0.6350668456510995","0.6043020960419085","0.6043020960419085","0.6043020960419085","0.5766231216005986","0.5766231216005986","0.5766231216005986","0.7821255042470788","0.7821255042470788","0.7821255042470788"
"6","0.3557402288105048","0.3557402288105048","0.3557402288105048","0.6384085445034915","0.6384085445034915","0.6384085445034915","0.6156317861619676","0.6156317861619676","0.6156317861619676","0.7219267703089309","0.7219267703089309","0.7219267703089309","0.6389017038515963","0.6389017038515963","0.6389017038515963","0.609454582915456","0.609454582915456","0.609454582915456","0.5605794701126265","0.5605794701126265","0.5605794701126265","0.7575085590153627","0.7575085590153627","0.7575085590153627"
"7","0.3527250430193132","0.3527250430193132","0.3527250430193132","0.6245281121481676","0.6245281121481676","0.6245281121481676","0.5822047375910271","0.5822047375910271","0.5822047375910271","0.6958757641569439","0.6958757641569439","0.6958757641569439","0.6185818879601901","0.6185818879601901","0.6185818879601901","0.6171876941354384","0.6171876941354384","0.6171876941354384","0.5196836296233887","0.5196836296233887","0.5196836296233887","0.7737112331335086","0.7737112331335086","0.7737112331335086"
"8","0.4142867070244086","0.4142867070244086","0.4142867070244086","0.694439289357986","0.694439289357986","0.694439289357986","0.5258085278439442","0.5258085278439442","0.5258085278439442","0.6807192572740257","0.6807192572740257","0.6807192572740257","0.49488356376260767","0.49488356376260767","0.49488356376260767","0.5749261838065955","0.5749261838065955","0.5749261838065955","0.4331616535568489","0.4331616535568489","0.4331616535568489","0.7638075226966761","0.7638075226966761","0.7638075226966761"
"9","0.43288451436053277","0.43288451436053277","0.43288451436053277","0.6771423289383194","0.6771423289383194","0.6771423289383194","0.0012396623208934532","0.0012396623208934532","0.0012396623208934532","0.6199945781628544","0.6199945781628544","0.6199945781628544","0.28304726791216295","0.28304726791216295","0.28304726791216295","0.3517633840898089","0.3517633840898089","0.3517633840898089","0.34542956315034423","0.34542956315034423","0.34542956315034423","0.594808536723147","0.594808536723147","0.594808536723147"
