"Step","train-PAES_features_model_8_seed32_dev30_lambda0.5_random - QWK[High]","train-PAES_features_model_8_seed32_dev30_lambda0.5_random - QWK[High]__MIN","train-PAES_features_model_8_seed32_dev30_lambda0.5_random - QWK[High]__MAX","train-PAES_features_model_7_seed32_dev30_lambda0.5_random - QWK[High]","train-PAES_features_model_7_seed32_dev30_lambda0.5_random - QWK[High]__MIN","train-PAES_features_model_7_seed32_dev30_lambda0.5_random - QWK[High]__MAX","train-PAES_features_model_2_seed32_dev30_lambda0.5_random - QWK[High]","train-PAES_features_model_2_seed32_dev30_lambda0.5_random - QWK[High]__MIN","train-PAES_features_model_2_seed32_dev30_lambda0.5_random - QWK[High]__MAX","train-PAES_features_model_6_seed32_dev30_lambda0.5_random - QWK[High]","train-PAES_features_model_6_seed32_dev30_lambda0.5_random - QWK[High]__MIN","train-PAES_features_model_6_seed32_dev30_lambda0.5_random - QWK[High]__MAX","train-PAES_features_model_4_seed32_dev30_lambda0.5_random - QWK[High]","train-PAES_features_model_4_seed32_dev30_lambda0.5_random - QWK[High]__MIN","train-PAES_features_model_4_seed32_dev30_lambda0.5_random - QWK[High]__MAX","train-PAES_features_model_5_seed32_dev30_lambda0.5_random - QWK[High]","train-PAES_features_model_5_seed32_dev30_lambda0.5_random - QWK[High]__MIN","train-PAES_features_model_5_seed32_dev30_lambda0.5_random - QWK[High]__MAX","train-PAES_features_model_3_seed32_dev30_lambda0.5_random - QWK[High]","train-PAES_features_model_3_seed32_dev30_lambda0.5_random - QWK[High]__MIN","train-PAES_features_model_3_seed32_dev30_lambda0.5_random - QWK[High]__MAX","train-PAES_features_model_1_seed32_dev30_lambda0.5_random - QWK[High]","train-PAES_features_model_1_seed32_dev30_lambda0.5_random - QWK[High]__MIN","train-PAES_features_model_1_seed32_dev30_lambda0.5_random - QWK[High]__MAX"
"0","0.6776250889686053","0.6776250889686053","0.6776250889686053","0.7361095364924731","0.7361095364924731","0.7361095364924731","0.6090872264981216","0.6090872264981216","0.6090872264981216","0.63002459493457","0.63002459493457","0.63002459493457","0.6365333830216271","0.6365333830216271","0.6365333830216271","0.7156364059818077","0.7156364059818077","0.7156364059818077","0.6137171400211329","0.6137171400211329","0.6137171400211329","0.7279317732278865","0.7279317732278865","0.7279317732278865"
"1","0.6351275845976484","0.6351275845976484","0.6351275845976484","0.7374463050213875","0.7374463050213875","0.7374463050213875","0.5919007345165326","0.5919007345165326","0.5919007345165326","0.5837708040076177","0.5837708040076177","0.5837708040076177","0.627147730660518","0.627147730660518","0.627147730660518","0.7587733087762499","0.7587733087762499","0.7587733087762499","0.629485166134138","0.629485166134138","0.629485166134138","0.7687119917415846","0.7687119917415846","0.7687119917415846"
"2","0.5654836309210997","0.5654836309210997","0.5654836309210997","0.7369066045428754","0.7369066045428754","0.7369066045428754","0.6557762940641292","0.6557762940641292","0.6557762940641292","0.584504833934807","0.584504833934807","0.584504833934807","0.6383268793488694","0.6383268793488694","0.6383268793488694","0.745370262134388","0.745370262134388","0.745370262134388","0.6402596087135994","0.6402596087135994","0.6402596087135994","0.7345122111024195","0.7345122111024195","0.7345122111024195"
"3","0.5779688414722957","0.5779688414722957","0.5779688414722957","0.7145426568398668","0.7145426568398668","0.7145426568398668","0.5737288115987629","0.5737288115987629","0.5737288115987629","0.6303799805019874","0.6303799805019874","0.6303799805019874","0.6543009881354122","0.6543009881354122","0.6543009881354122","0.7654391551258044","0.7654391551258044","0.7654391551258044","0.585030424737202","0.585030424737202","0.585030424737202","0.7160474635664068","0.7160474635664068","0.7160474635664068"
"4","0.5564296879546369","0.5564296879546369","0.5564296879546369","0.6964515987651616","0.6964515987651616","0.6964515987651616","0.5812127250473704","0.5812127250473704","0.5812127250473704","0.6271282663767387","0.6271282663767387","0.6271282663767387","0.6590512059654912","0.6590512059654912","0.6590512059654912","0.7063139141599084","0.7063139141599084","0.7063139141599084","0.6556841099174848","0.6556841099174848","0.6556841099174848","0.7426771365904964","0.7426771365904964","0.7426771365904964"
"5","0.49006565938829527","0.49006565938829527","0.49006565938829527","0.704528685312986","0.704528685312986","0.704528685312986","0.5834318262481608","0.5834318262481608","0.5834318262481608","0.641085341211038","0.641085341211038","0.641085341211038","0.6688818123074056","0.6688818123074056","0.6688818123074056","0.7620148160860554","0.7620148160860554","0.7620148160860554","0.655884658342752","0.655884658342752","0.655884658342752","0.6686720682555435","0.6686720682555435","0.6686720682555435"
"6","0.4494451759480623","0.4494451759480623","0.4494451759480623","0.6666012245849541","0.6666012245849541","0.6666012245849541","0.5963567592519231","0.5963567592519231","0.5963567592519231","0.6212743972970378","0.6212743972970378","0.6212743972970378","0.6775733523535667","0.6775733523535667","0.6775733523535667","0.7709126171598397","0.7709126171598397","0.7709126171598397","0.6470734730393237","0.6470734730393237","0.6470734730393237","0.5319511652981701","0.5319511652981701","0.5319511652981701"
"7","0.2792754659924507","0.2792754659924507","0.2792754659924507","0.6177944924165575","0.6177944924165575","0.6177944924165575","0.5469239685416405","0.5469239685416405","0.5469239685416405","0.6582661949788395","0.6582661949788395","0.6582661949788395","0.677654327044045","0.677654327044045","0.677654327044045","0.754189820250503","0.754189820250503","0.754189820250503","0.6268531364906886","0.6268531364906886","0.6268531364906886","0.6215634539045439","0.6215634539045439","0.6215634539045439"
"8","0.3177863594160665","0.3177863594160665","0.3177863594160665","0.5977524861413823","0.5977524861413823","0.5977524861413823","0.46088882735705394","0.46088882735705394","0.46088882735705394","0.6565478383131942","0.6565478383131942","0.6565478383131942","0.6914698586902821","0.6914698586902821","0.6914698586902821","0.7434259902745963","0.7434259902745963","0.7434259902745963","0.6594787622414093","0.6594787622414093","0.6594787622414093","0.6585067541516284","0.6585067541516284","0.6585067541516284"
"9","0.19575728290394112","0.19575728290394112","0.19575728290394112","0.5370650208266241","0.5370650208266241","0.5370650208266241","0.2541322693252187","0.2541322693252187","0.2541322693252187","0.2510706124095021","0.2510706124095021","0.2510706124095021","0.639029234277982","0.639029234277982","0.639029234277982","0.701821209587005","0.701821209587005","0.701821209587005","0.5151827877975772","0.5151827877975772","0.5151827877975772","0.5844784108085885","0.5844784108085885","0.5844784108085885"
