"Step","train-Transformer_mlp_8_seed52_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_8_seed52_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_8_seed52_dev30_lambda0.0_random - QWK[Low]__MAX","train-Transformer_mlp_7_seed52_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_7_seed52_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_7_seed52_dev30_lambda0.0_random - QWK[Low]__MAX","train-Transformer_mlp_6_seed52_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_6_seed52_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_6_seed52_dev30_lambda0.0_random - QWK[Low]__MAX","train-Transformer_mlp_5_seed52_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_5_seed52_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_5_seed52_dev30_lambda0.0_random - QWK[Low]__MAX","train-Transformer_mlp_4_seed52_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_4_seed52_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_4_seed52_dev30_lambda0.0_random - QWK[Low]__MAX","train-Transformer_mlp_3_seed52_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_3_seed52_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_3_seed52_dev30_lambda0.0_random - QWK[Low]__MAX","train-Transformer_mlp_2_seed52_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_2_seed52_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_2_seed52_dev30_lambda0.0_random - QWK[Low]__MAX","train-Transformer_mlp_1_seed52_dev30_lambda0.0_random - QWK[Low]","train-Transformer_mlp_1_seed52_dev30_lambda0.0_random - QWK[Low]__MIN","train-Transformer_mlp_1_seed52_dev30_lambda0.0_random - QWK[Low]__MAX"
"0","0.4151547490205244","0.4151547490205244","0.4151547490205244","0.608571842056986","0.608571842056986","0.608571842056986","0.5743015736067738","0.5743015736067738","0.5743015736067738","0.5601801767062766","0.5601801767062766","0.5601801767062766","0.6368856515914572","0.6368856515914572","0.6368856515914572","0.5494227958357778","0.5494227958357778","0.5494227958357778","0.5176322048716377","0.5176322048716377","0.5176322048716377","0.5976997496409958","0.5976997496409958","0.5976997496409958"
"1","0.43609237325768313","0.43609237325768313","0.43609237325768313","0.6357205137310136","0.6357205137310136","0.6357205137310136","0.6432632735878905","0.6432632735878905","0.6432632735878905","0.7281607563053774","0.7281607563053774","0.7281607563053774","0.6240324838623201","0.6240324838623201","0.6240324838623201","0.5377018815502235","0.5377018815502235","0.5377018815502235","0.4759321312696134","0.4759321312696134","0.4759321312696134","0.5093694551164987","0.5093694551164987","0.5093694551164987"
"2","0.3931837287792349","0.3931837287792349","0.3931837287792349","0.69529463191501","0.69529463191501","0.69529463191501","0.5497950951087547","0.5497950951087547","0.5497950951087547","0.694924965827874","0.694924965827874","0.694924965827874","0.6409635828026161","0.6409635828026161","0.6409635828026161","0.6396654767157355","0.6396654767157355","0.6396654767157355","0.48368093445426574","0.48368093445426574","0.48368093445426574","0.6972246930424224","0.6972246930424224","0.6972246930424224"
"3","0.4301215395250977","0.4301215395250977","0.4301215395250977","0.6501198532401268","0.6501198532401268","0.6501198532401268","0.5661563115782493","0.5661563115782493","0.5661563115782493","0.6930503380347474","0.6930503380347474","0.6930503380347474","0.6195706326883441","0.6195706326883441","0.6195706326883441","0.6235357864144624","0.6235357864144624","0.6235357864144624","0.5462339645384249","0.5462339645384249","0.5462339645384249","0.6211750397942913","0.6211750397942913","0.6211750397942913"
"4","0.3788869669203693","0.3788869669203693","0.3788869669203693","0.6377580095091084","0.6377580095091084","0.6377580095091084","0.6312471463407382","0.6312471463407382","0.6312471463407382","0.735870633176646","0.735870633176646","0.735870633176646","0.6493433457774836","0.6493433457774836","0.6493433457774836","0.6107129124806515","0.6107129124806515","0.6107129124806515","0.5246332024405451","0.5246332024405451","0.5246332024405451","0.7343959576247842","0.7343959576247842","0.7343959576247842"
"5","0.33463999402252853","0.33463999402252853","0.33463999402252853","0.6469999790741021","0.6469999790741021","0.6469999790741021","0.6066146156743386","0.6066146156743386","0.6066146156743386","0.7275574145184066","0.7275574145184066","0.7275574145184066","0.6554075042142546","0.6554075042142546","0.6554075042142546","0.6077144952334392","0.6077144952334392","0.6077144952334392","0.49412752350728417","0.49412752350728417","0.49412752350728417","0.6385878960492408","0.6385878960492408","0.6385878960492408"
"6","0.5044991261580338","0.5044991261580338","0.5044991261580338","0.6271382727704825","0.6271382727704825","0.6271382727704825","0.6377991290180701","0.6377991290180701","0.6377991290180701","0.7453080020460114","0.7453080020460114","0.7453080020460114","0.6401613796638475","0.6401613796638475","0.6401613796638475","0.5848009456833163","0.5848009456833163","0.5848009456833163","0.45434894769233525","0.45434894769233525","0.45434894769233525","0.6959497709711266","0.6959497709711266","0.6959497709711266"
"7","0.42961558857353477","0.42961558857353477","0.42961558857353477","0.6624940026048671","0.6624940026048671","0.6624940026048671","0.591325276150167","0.591325276150167","0.591325276150167","0.7433492676596377","0.7433492676596377","0.7433492676596377","0.6052106796074718","0.6052106796074718","0.6052106796074718","0.5482263458133892","0.5482263458133892","0.5482263458133892","0.43947825995735657","0.43947825995735657","0.43947825995735657","0.7140224029896893","0.7140224029896893","0.7140224029896893"
"8","0.4624679341180983","0.4624679341180983","0.4624679341180983","0.6402238424412909","0.6402238424412909","0.6402238424412909","0.6395392255008863","0.6395392255008863","0.6395392255008863","0.6796173624624406","0.6796173624624406","0.6796173624624406","0.6035849083026327","0.6035849083026327","0.6035849083026327","0.5021307230524494","0.5021307230524494","0.5021307230524494","0.4782938228978062","0.4782938228978062","0.4782938228978062","0.7737239792267381","0.7737239792267381","0.7737239792267381"
"9","0.31452672271145465","0.31452672271145465","0.31452672271145465","0.5706165894741446","0.5706165894741446","0.5706165894741446","0.5630745974284834","0.5630745974284834","0.5630745974284834","0.6857895389369917","0.6857895389369917","0.6857895389369917","0.5176279247218201","0.5176279247218201","0.5176279247218201","0.48401815342572707","0.48401815342572707","0.48401815342572707","0.43835254756114417","0.43835254756114417","0.43835254756114417","0.7686271804336973","0.7686271804336973","0.7686271804336973"
