"Step","train-MLP_mlp_8_seed52_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_8_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_8_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_7_seed52_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_7_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_7_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_6_seed52_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_6_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_6_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_5_seed52_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_5_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_5_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_4_seed52_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_4_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_4_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_3_seed52_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_3_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_3_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_2_seed52_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_2_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_2_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_1_seed52_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_1_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_1_seed52_dev30_lambda0.0_random - QWK[High]__MAX"
"0","0.6087798257228634","0.6087798257228634","0.6087798257228634","0.6939954637124058","0.6939954637124058","0.6939954637124058","0.5589026569073829","0.5589026569073829","0.5589026569073829","0.7273248502408525","0.7273248502408525","0.7273248502408525","0.6382294772166528","0.6382294772166528","0.6382294772166528","0.5731605496608105","0.5731605496608105","0.5731605496608105","0.3002731640491859","0.3002731640491859","0.3002731640491859","0.5020870501855063","0.5020870501855063","0.5020870501855063"
"1","0.48585846216027273","0.48585846216027273","0.48585846216027273","0.5628349208143593","0.5628349208143593","0.5628349208143593","0.592820999367489","0.592820999367489","0.592820999367489","0.7122902600221834","0.7122902600221834","0.7122902600221834","0.660125924098652","0.660125924098652","0.660125924098652","0.5675201835458107","0.5675201835458107","0.5675201835458107","0.25685894223016414","0.25685894223016414","0.25685894223016414","0.5450533189425615","0.5450533189425615","0.5450533189425615"
"2","0.39584524491412676","0.39584524491412676","0.39584524491412676","0.6727050396806042","0.6727050396806042","0.6727050396806042","0.4907760982918077","0.4907760982918077","0.4907760982918077","0.7032329775833491","0.7032329775833491","0.7032329775833491","0.5879578827201712","0.5879578827201712","0.5879578827201712","0.5654948011342981","0.5654948011342981","0.5654948011342981","0.3726177566007355","0.3726177566007355","0.3726177566007355","0.3420645596642746","0.3420645596642746","0.3420645596642746"
"3","0.3478989306505612","0.3478989306505612","0.3478989306505612","0.580511436206236","0.580511436206236","0.580511436206236","0.4669997131608147","0.4669997131608147","0.4669997131608147","0.6933949620875945","0.6933949620875945","0.6933949620875945","0.5729220656620397","0.5729220656620397","0.5729220656620397","0.47864385249930064","0.47864385249930064","0.47864385249930064","0.30435667752442985","0.30435667752442985","0.30435667752442985","0.3192974579034563","0.3192974579034563","0.3192974579034563"
"4","0.4239885759765607","0.4239885759765607","0.4239885759765607","0.6654879436430233","0.6654879436430233","0.6654879436430233","0.3842687132437149","0.3842687132437149","0.3842687132437149","0.6700177923658189","0.6700177923658189","0.6700177923658189","0.5470337344089583","0.5470337344089583","0.5470337344089583","0.45873166227543005","0.45873166227543005","0.45873166227543005","0.18759312709705744","0.18759312709705744","0.18759312709705744","0.13836641088201773","0.13836641088201773","0.13836641088201773"
"5","0.4487260953987282","0.4487260953987282","0.4487260953987282","0.5214753020672922","0.5214753020672922","0.5214753020672922","0.28483990568363804","0.28483990568363804","0.28483990568363804","0.5738598749169412","0.5738598749169412","0.5738598749169412","0.4030419577519849","0.4030419577519849","0.4030419577519849","0.45956095171656297","0.45956095171656297","0.45956095171656297","0.18697044889751713","0.18697044889751713","0.18697044889751713","0.2112234072799961","0.2112234072799961","0.2112234072799961"
"6","0.4108311112086319","0.4108311112086319","0.4108311112086319","0.5786671065153974","0.5786671065153974","0.5786671065153974","0.09387474311954758","0.09387474311954758","0.09387474311954758","0.6028270141891159","0.6028270141891159","0.6028270141891159","-0.12553453765296219","-0.12553453765296219","-0.12553453765296219","0.26735879183444977","0.26735879183444977","0.26735879183444977","0.16658846348903456","0.16658846348903456","0.16658846348903456","-0.01615032015267448","-0.01615032015267448","-0.01615032015267448"
"7","0.20211486096050557","0.20211486096050557","0.20211486096050557","0.5091802830903203","0.5091802830903203","0.5091802830903203","-0.1324146619054669","-0.1324146619054669","-0.1324146619054669","0.5790322725782908","0.5790322725782908","0.5790322725782908","-0.3222767618084954","-0.3222767618084954","-0.3222767618084954","0.2159216903728578","0.2159216903728578","0.2159216903728578","0.10970460715588148","0.10970460715588148","0.10970460715588148","-0.1952657483701885","-0.1952657483701885","-0.1952657483701885"
"8","0.2973448048752393","0.2973448048752393","0.2973448048752393","0.4710813738992997","0.4710813738992997","0.4710813738992997","-0.15633376962602674","-0.15633376962602674","-0.15633376962602674","0.43547328542568453","0.43547328542568453","0.43547328542568453","-0.32997387148264234","-0.32997387148264234","-0.32997387148264234","0.016285172881302268","0.016285172881302268","0.016285172881302268","0.07238406928013552","0.07238406928013552","0.07238406928013552","-0.35302158525229466","-0.35302158525229466","-0.35302158525229466"
"9","-0.012525037966228725","-0.012525037966228725","-0.012525037966228725","0.10624415060475179","0.10624415060475179","0.10624415060475179","-0.24172386545177016","-0.24172386545177016","-0.24172386545177016","-0.052434377637332386","-0.052434377637332386","-0.052434377637332386","-0.5263534801815324","-0.5263534801815324","-0.5263534801815324","0.06123296201480666","0.06123296201480666","0.06123296201480666","0","0","0","-0.2585680844979015","-0.2585680844979015","-0.2585680844979015"
