"Step","train-PAES_features_model_8_seed52_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_8_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_8_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_7_seed52_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_7_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_7_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_4_seed52_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_4_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_4_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_3_seed52_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_3_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_3_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_2_seed52_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_2_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_2_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_1_seed52_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_1_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_1_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_5_seed52_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_5_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_5_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_6_seed52_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_6_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_6_seed52_dev30_lambda0.0_random - QWK[High]__MAX"
"0","0.6414891870731194","0.6414891870731194","0.6414891870731194","0.7438638920998644","0.7438638920998644","0.7438638920998644","0.5948870085568009","0.5948870085568009","0.5948870085568009","0.6196761739200745","0.6196761739200745","0.6196761739200745","0.5719819559058148","0.5719819559058148","0.5719819559058148","0.7729817727798005","0.7729817727798005","0.7729817727798005","0.7427904902944313","0.7427904902944313","0.7427904902944313","0.5989240316650464","0.5989240316650464","0.5989240316650464"
"1","0.562321367129258","0.562321367129258","0.562321367129258","0.7191712752550969","0.7191712752550969","0.7191712752550969","0.6275470346591414","0.6275470346591414","0.6275470346591414","0.6159902835364577","0.6159902835364577","0.6159902835364577","0.5742447705696717","0.5742447705696717","0.5742447705696717","0.7419265822678909","0.7419265822678909","0.7419265822678909","0.7327035062117735","0.7327035062117735","0.7327035062117735","0.5797010400146563","0.5797010400146563","0.5797010400146563"
"2","0.5754706014012431","0.5754706014012431","0.5754706014012431","0.7453297891531568","0.7453297891531568","0.7453297891531568","0.6425112878264125","0.6425112878264125","0.6425112878264125","0.6278084033877779","0.6278084033877779","0.6278084033877779","0.5888074642088164","0.5888074642088164","0.5888074642088164","0.8008933231838848","0.8008933231838848","0.8008933231838848","0.7428115370329205","0.7428115370329205","0.7428115370329205","0.586633258309808","0.586633258309808","0.586633258309808"
"3","0.6068932087209004","0.6068932087209004","0.6068932087209004","0.7368038222377525","0.7368038222377525","0.7368038222377525","0.6361319987015355","0.6361319987015355","0.6361319987015355","0.6613386232284891","0.6613386232284891","0.6613386232284891","0.6057862601887276","0.6057862601887276","0.6057862601887276","0.7429454680562118","0.7429454680562118","0.7429454680562118","0.7171754810557444","0.7171754810557444","0.7171754810557444","0.6284470305137398","0.6284470305137398","0.6284470305137398"
"4","0.6024375255636296","0.6024375255636296","0.6024375255636296","0.7238803672209644","0.7238803672209644","0.7238803672209644","0.6468720332877735","0.6468720332877735","0.6468720332877735","0.6438102659004579","0.6438102659004579","0.6438102659004579","0.6373130191463332","0.6373130191463332","0.6373130191463332","0.7617002903270708","0.7617002903270708","0.7617002903270708","0.7463880465136477","0.7463880465136477","0.7463880465136477","0.6522579087177011","0.6522579087177011","0.6522579087177011"
"5","0.6252827288895761","0.6252827288895761","0.6252827288895761","0.7244480311082302","0.7244480311082302","0.7244480311082302","0.6373864491941806","0.6373864491941806","0.6373864491941806","0.6608","0.6608","0.6608","0.5541363660561712","0.5541363660561712","0.5541363660561712","0.7712575354946608","0.7712575354946608","0.7712575354946608","0.7568343577457717","0.7568343577457717","0.7568343577457717","0.625646234425117","0.625646234425117","0.625646234425117"
"6","0.5929259535596951","0.5929259535596951","0.5929259535596951","0.6871612811441652","0.6871612811441652","0.6871612811441652","0.6251646057994479","0.6251646057994479","0.6251646057994479","0.6567296601898678","0.6567296601898678","0.6567296601898678","0.628065035513252","0.628065035513252","0.628065035513252","0.7928352994781874","0.7928352994781874","0.7928352994781874","0.7646056178898009","0.7646056178898009","0.7646056178898009","0.6367004028127057","0.6367004028127057","0.6367004028127057"
"7","0.5440894242927243","0.5440894242927243","0.5440894242927243","0.6705269376177885","0.6705269376177885","0.6705269376177885","0.6377000639297523","0.6377000639297523","0.6377000639297523","0.6386660908193484","0.6386660908193484","0.6386660908193484","0.5825242838731419","0.5825242838731419","0.5825242838731419","0.720299895683933","0.720299895683933","0.720299895683933","0.7359385617007725","0.7359385617007725","0.7359385617007725","0.6141602010782982","0.6141602010782982","0.6141602010782982"
"8","0.5593963514425992","0.5593963514425992","0.5593963514425992","0.5799430835536763","0.5799430835536763","0.5799430835536763","0.5860410246092785","0.5860410246092785","0.5860410246092785","0.6197857291318943","0.6197857291318943","0.6197857291318943","0.4865719740333444","0.4865719740333444","0.4865719740333444","0.6637060695346153","0.6637060695346153","0.6637060695346153","0.7523820940680176","0.7523820940680176","0.7523820940680176","0.6582151400908363","0.6582151400908363","0.6582151400908363"
"9","0.4689558057527179","0.4689558057527179","0.4689558057527179","0.41658483921007883","0.41658483921007883","0.41658483921007883","0.6498974621091371","0.6498974621091371","0.6498974621091371","0.6237146565833287","0.6237146565833287","0.6237146565833287","0.3842007275829993","0.3842007275829993","0.3842007275829993","0.4674271842962362","0.4674271842962362","0.4674271842962362","0.7061980365567675","0.7061980365567675","0.7061980365567675","0.6400525097592151","0.6400525097592151","0.6400525097592151"
