"Step","train-Transformer_mlp_8_seed52_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_8_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_8_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_7_seed52_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_7_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_7_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_6_seed52_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_6_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_6_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_5_seed52_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_5_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_5_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_4_seed52_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_4_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_4_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_3_seed52_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_3_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_3_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_2_seed52_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_2_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_2_seed52_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_1_seed52_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_1_seed52_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_1_seed52_dev30_lambda0.0_random - QWK[High]__MAX"
"0","0.4151547490205244","0.4151547490205244","0.4151547490205244","0.608571842056986","0.608571842056986","0.608571842056986","0.5743015736067738","0.5743015736067738","0.5743015736067738","0.5601801767062766","0.5601801767062766","0.5601801767062766","0.6368856515914572","0.6368856515914572","0.6368856515914572","0.5494227958357778","0.5494227958357778","0.5494227958357778","0.5176322048716377","0.5176322048716377","0.5176322048716377","0.5976997496409958","0.5976997496409958","0.5976997496409958"
"1","0.45378615005861234","0.45378615005861234","0.45378615005861234","0.6450945868533337","0.6450945868533337","0.6450945868533337","0.6008512228504737","0.6008512228504737","0.6008512228504737","0.7015847640845798","0.7015847640845798","0.7015847640845798","0.6031497017421348","0.6031497017421348","0.6031497017421348","0.5138991111362736","0.5138991111362736","0.5138991111362736","0.5233834117497281","0.5233834117497281","0.5233834117497281","0.5438377987541316","0.5438377987541316","0.5438377987541316"
"2","0.42903008988696856","0.42903008988696856","0.42903008988696856","0.5686711371750439","0.5686711371750439","0.5686711371750439","0.5716687885405901","0.5716687885405901","0.5716687885405901","0.6469111221317365","0.6469111221317365","0.6469111221317365","0.6506943287237059","0.6506943287237059","0.6506943287237059","0.6464352644794955","0.6464352644794955","0.6464352644794955","0.5419391340872524","0.5419391340872524","0.5419391340872524","0.5274178336458129","0.5274178336458129","0.5274178336458129"
"3","0.33047961282889804","0.33047961282889804","0.33047961282889804","0.6288701965815522","0.6288701965815522","0.6288701965815522","0.5469562574687823","0.5469562574687823","0.5469562574687823","0.6258577049971101","0.6258577049971101","0.6258577049971101","0.5819254038152473","0.5819254038152473","0.5819254038152473","0.5683403138719281","0.5683403138719281","0.5683403138719281","0.566371884796058","0.566371884796058","0.566371884796058","0.5542248067824722","0.5542248067824722","0.5542248067824722"
"4","0.41715127638819327","0.41715127638819327","0.41715127638819327","0.6120832170810873","0.6120832170810873","0.6120832170810873","0.5253053567065078","0.5253053567065078","0.5253053567065078","0.511426744204314","0.511426744204314","0.511426744204314","0.564820953105472","0.564820953105472","0.564820953105472","0.5313091039206665","0.5313091039206665","0.5313091039206665","0.5344469840855661","0.5344469840855661","0.5344469840855661","0.4441293072345268","0.4441293072345268","0.4441293072345268"
"5","0.3076082551726588","0.3076082551726588","0.3076082551726588","0.620696834252104","0.620696834252104","0.620696834252104","0.47257963944947623","0.47257963944947623","0.47257963944947623","0.5358771998154728","0.5358771998154728","0.5358771998154728","0.504842109591529","0.504842109591529","0.504842109591529","0.5098633995489329","0.5098633995489329","0.5098633995489329","0.4636076332505886","0.4636076332505886","0.4636076332505886","0.22733881619582763","0.22733881619582763","0.22733881619582763"
"6","0.25202975647544346","0.25202975647544346","0.25202975647544346","0.6580036917276091","0.6580036917276091","0.6580036917276091","0.42551309585837926","0.42551309585837926","0.42551309585837926","0.5280520940943101","0.5280520940943101","0.5280520940943101","0.3479555265544292","0.3479555265544292","0.3479555265544292","0.4572425121164805","0.4572425121164805","0.4572425121164805","0.4278414094847812","0.4278414094847812","0.4278414094847812","0.21185303479293505","0.21185303479293505","0.21185303479293505"
"7","0.32685337920386826","0.32685337920386826","0.32685337920386826","0.678297043709611","0.678297043709611","0.678297043709611","0.268464089456104","0.268464089456104","0.268464089456104","0.6356700425520015","0.6356700425520015","0.6356700425520015","0.10221990989601426","0.10221990989601426","0.10221990989601426","0.4319709355131698","0.4319709355131698","0.4319709355131698","0.2387938004373351","0.2387938004373351","0.2387938004373351","0.09963459816226283","0.09963459816226283","0.09963459816226283"
"8","0.10103917696677644","0.10103917696677644","0.10103917696677644","0.607943013722892","0.607943013722892","0.607943013722892","0.23872077198505004","0.23872077198505004","0.23872077198505004","0.5650723437530356","0.5650723437530356","0.5650723437530356","-0.06553402180680057","-0.06553402180680057","-0.06553402180680057","0.2789115646258503","0.2789115646258503","0.2789115646258503","0.12843424006628745","0.12843424006628745","0.12843424006628745","-0.044785770800850555","-0.044785770800850555","-0.044785770800850555"
"9","0.08085509309074523","0.08085509309074523","0.08085509309074523","0.35670605933673893","0.35670605933673893","0.35670605933673893","0.04805199643774405","0.04805199643774405","0.04805199643774405","0.22460641837692197","0.22460641837692197","0.22460641837692197","-0.008066075892395608","-0.008066075892395608","-0.008066075892395608","0.14877627614399236","0.14877627614399236","0.14877627614399236","0.014432847477010569","0.014432847477010569","0.014432847477010569","0.016510217957738882","0.016510217957738882","0.016510217957738882"
