"Step","train-PAES_features_model_8_seed22_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_8_seed22_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_8_seed22_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_7_seed22_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_7_seed22_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_7_seed22_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_6_seed22_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_6_seed22_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_6_seed22_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_5_seed22_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_5_seed22_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_5_seed22_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_4_seed22_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_4_seed22_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_4_seed22_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_3_seed22_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_3_seed22_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_3_seed22_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_2_seed22_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_2_seed22_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_2_seed22_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_1_seed22_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_1_seed22_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_1_seed22_dev30_lambda0.5_random - QWK[Low]__MAX"
"0","0.6579102966797139","0.6579102966797139","0.6579102966797139","0.7543396327533092","0.7543396327533092","0.7543396327533092","0.6163115972785873","0.6163115972785873","0.6163115972785873","0.7156497612680802","0.7156497612680802","0.7156497612680802","0.6479553409874331","0.6479553409874331","0.6479553409874331","0.6511790800840532","0.6511790800840532","0.6511790800840532","0.6422559258343239","0.6422559258343239","0.6422559258343239","0.773107282834965","0.773107282834965","0.773107282834965"
"1","0.6503708829665098","0.6503708829665098","0.6503708829665098","0.7163203672754678","0.7163203672754678","0.7163203672754678","0.5974733040520817","0.5974733040520817","0.5974733040520817","0.7469988067818347","0.7469988067818347","0.7469988067818347","0.5916714937205296","0.5916714937205296","0.5916714937205296","0.6469083662968801","0.6469083662968801","0.6469083662968801","0.6013855623776125","0.6013855623776125","0.6013855623776125","0.7235094027968533","0.7235094027968533","0.7235094027968533"
"2","0.6293781239900318","0.6293781239900318","0.6293781239900318","0.7048361417861182","0.7048361417861182","0.7048361417861182","0.551720351139694","0.551720351139694","0.551720351139694","0.6725354441439277","0.6725354441439277","0.6725354441439277","0.5490335350704993","0.5490335350704993","0.5490335350704993","0.6308586372221415","0.6308586372221415","0.6308586372221415","0.6117232145201236","0.6117232145201236","0.6117232145201236","0.7446747567004885","0.7446747567004885","0.7446747567004885"
"3","0.5934412415403583","0.5934412415403583","0.5934412415403583","0.7142817681510037","0.7142817681510037","0.7142817681510037","0.5108532490466168","0.5108532490466168","0.5108532490466168","0.6200818603829823","0.6200818603829823","0.6200818603829823","0.5680665267286424","0.5680665267286424","0.5680665267286424","0.6549591691112344","0.6549591691112344","0.6549591691112344","0.6306445481530609","0.6306445481530609","0.6306445481530609","0.6895040120572997","0.6895040120572997","0.6895040120572997"
"4","0.5858916753715722","0.5858916753715722","0.5858916753715722","0.7253435645961142","0.7253435645961142","0.7253435645961142","0.47228394006722507","0.47228394006722507","0.47228394006722507","0.6019203457541917","0.6019203457541917","0.6019203457541917","0.5673292314535952","0.5673292314535952","0.5673292314535952","0.6446437628466939","0.6446437628466939","0.6446437628466939","0.6008876496258837","0.6008876496258837","0.6008876496258837","0.6567287815329622","0.6567287815329622","0.6567287815329622"
"5","0.5129832599997022","0.5129832599997022","0.5129832599997022","0.6938188515872072","0.6938188515872072","0.6938188515872072","0.45984022005269365","0.45984022005269365","0.45984022005269365","0.6069881262000205","0.6069881262000205","0.6069881262000205","0.5593852275707658","0.5593852275707658","0.5593852275707658","0.6220185344609308","0.6220185344609308","0.6220185344609308","0.6095998867687518","0.6095998867687518","0.6095998867687518","0.5944482954346759","0.5944482954346759","0.5944482954346759"
"6","0.46981200264836576","0.46981200264836576","0.46981200264836576","0.6722351813865196","0.6722351813865196","0.6722351813865196","0.4518759135942829","0.4518759135942829","0.4518759135942829","0.5581274865997595","0.5581274865997595","0.5581274865997595","0.5499316994731265","0.5499316994731265","0.5499316994731265","0.643573946030294","0.643573946030294","0.643573946030294","0.6080989777563287","0.6080989777563287","0.6080989777563287","0.6089672094579524","0.6089672094579524","0.6089672094579524"
"7","0.42339387664851913","0.42339387664851913","0.42339387664851913","0.6668618052088295","0.6668618052088295","0.6668618052088295","0.42723368535155826","0.42723368535155826","0.42723368535155826","0.543462945320991","0.543462945320991","0.543462945320991","0.5229858291729231","0.5229858291729231","0.5229858291729231","0.6113192023729621","0.6113192023729621","0.6113192023729621","0.6204068212314828","0.6204068212314828","0.6204068212314828","0.5247403878191719","0.5247403878191719","0.5247403878191719"
"8","0.34154658586121067","0.34154658586121067","0.34154658586121067","0.6975708745961993","0.6975708745961993","0.6975708745961993","0.33899714931852254","0.33899714931852254","0.33899714931852254","0.5423853893919952","0.5423853893919952","0.5423853893919952","0.5563779316856836","0.5563779316856836","0.5563779316856836","0.4696740896492402","0.4696740896492402","0.4696740896492402","0.6555501824416406","0.6555501824416406","0.6555501824416406","0.49961101704432065","0.49961101704432065","0.49961101704432065"
"9","0.1435491397344102","0.1435491397344102","0.1435491397344102","0.36061162134028746","0.36061162134028746","0.36061162134028746","0.24131518556619458","0.24131518556619458","0.24131518556619458","0.5203544095495629","0.5203544095495629","0.5203544095495629","0.5498639095619137","0.5498639095619137","0.5498639095619137","0.2507936507936508","0.2507936507936508","0.2507936507936508","0.5950031674954224","0.5950031674954224","0.5950031674954224","0.25977371665169524","0.25977371665169524","0.25977371665169524"
