"Step","train-MLP_mlp_8_seed52_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_8_seed52_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_8_seed52_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_mlp_7_seed52_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_7_seed52_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_7_seed52_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_mlp_6_seed52_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_6_seed52_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_6_seed52_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_mlp_5_seed52_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_5_seed52_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_5_seed52_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_mlp_4_seed52_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_4_seed52_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_4_seed52_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_mlp_3_seed52_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_3_seed52_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_3_seed52_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_mlp_2_seed52_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_2_seed52_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_2_seed52_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_mlp_1_seed52_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_1_seed52_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_1_seed52_dev30_lambda0.0_random - QWK[Low]__MAX"
"0","0.6087798257228634","0.6087798257228634","0.6087798257228634","0.6939954637124058","0.6939954637124058","0.6939954637124058","0.5589026569073829","0.5589026569073829","0.5589026569073829","0.7273248502408525","0.7273248502408525","0.7273248502408525","0.6382294772166528","0.6382294772166528","0.6382294772166528","0.5731605496608105","0.5731605496608105","0.5731605496608105","0.3002731640491859","0.3002731640491859","0.3002731640491859","0.5020870501855063","0.5020870501855063","0.5020870501855063"
"1","0.4571639260055397","0.4571639260055397","0.4571639260055397","0.7245780670551729","0.7245780670551729","0.7245780670551729","0.6428830703930231","0.6428830703930231","0.6428830703930231","0.753613612468881","0.753613612468881","0.753613612468881","0.6601427638101056","0.6601427638101056","0.6601427638101056","0.5913684533865766","0.5913684533865766","0.5913684533865766","0.3253709204943127","0.3253709204943127","0.3253709204943127","0.41082862749786575","0.41082862749786575","0.41082862749786575"
"2","0.47922136460108977","0.47922136460108977","0.47922136460108977","0.7047642835353682","0.7047642835353682","0.7047642835353682","0.6487627953072022","0.6487627953072022","0.6487627953072022","0.7499729721838396","0.7499729721838396","0.7499729721838396","0.6323465895447566","0.6323465895447566","0.6323465895447566","0.6270823483605418","0.6270823483605418","0.6270823483605418","0.3161609521502958","0.3161609521502958","0.3161609521502958","0.5336183868233311","0.5336183868233311","0.5336183868233311"
"3","0.5419773517088197","0.5419773517088197","0.5419773517088197","0.6644792545685333","0.6644792545685333","0.6644792545685333","0.6620786271302086","0.6620786271302086","0.6620786271302086","0.754789979014703","0.754789979014703","0.754789979014703","0.6582425958134852","0.6582425958134852","0.6582425958134852","0.5974216366285197","0.5974216366285197","0.5974216366285197","0.32816337139476925","0.32816337139476925","0.32816337139476925","0.6006030191775119","0.6006030191775119","0.6006030191775119"
"4","0.48571985841981","0.48571985841981","0.48571985841981","0.6818840400718442","0.6818840400718442","0.6818840400718442","0.6690182411180914","0.6690182411180914","0.6690182411180914","0.737922119403255","0.737922119403255","0.737922119403255","0.6522621494407193","0.6522621494407193","0.6522621494407193","0.6105286000335368","0.6105286000335368","0.6105286000335368","0.33311958781178863","0.33311958781178863","0.33311958781178863","0.483668231180883","0.483668231180883","0.483668231180883"
"5","0.5122385541199705","0.5122385541199705","0.5122385541199705","0.6793443537568564","0.6793443537568564","0.6793443537568564","0.6690405452638938","0.6690405452638938","0.6690405452638938","0.765982551326637","0.765982551326637","0.765982551326637","0.6626578251098334","0.6626578251098334","0.6626578251098334","0.596324791268969","0.596324791268969","0.596324791268969","0.38843395367475286","0.38843395367475286","0.38843395367475286","0.6437382163262664","0.6437382163262664","0.6437382163262664"
"6","0.48393518420530846","0.48393518420530846","0.48393518420530846","0.6546347572653997","0.6546347572653997","0.6546347572653997","0.6579949698621111","0.6579949698621111","0.6579949698621111","0.7692699159933702","0.7692699159933702","0.7692699159933702","0.6601622147224596","0.6601622147224596","0.6601622147224596","0.5915514504809438","0.5915514504809438","0.5915514504809438","0.3599982920545973","0.3599982920545973","0.3599982920545973","0.6288037665654331","0.6288037665654331","0.6288037665654331"
"7","0.5038223564534543","0.5038223564534543","0.5038223564534543","0.6756947199229904","0.6756947199229904","0.6756947199229904","0.6558800520677507","0.6558800520677507","0.6558800520677507","0.761821367002328","0.761821367002328","0.761821367002328","0.6368680824886941","0.6368680824886941","0.6368680824886941","0.5290150513187666","0.5290150513187666","0.5290150513187666","0.3605291196806014","0.3605291196806014","0.3605291196806014","0.686142057673783","0.686142057673783","0.686142057673783"
"8","0.48311338408372273","0.48311338408372273","0.48311338408372273","0.671313644258662","0.671313644258662","0.671313644258662","0.65663538755379","0.65663538755379","0.65663538755379","0.700654851087631","0.700654851087631","0.700654851087631","0.6449978730191277","0.6449978730191277","0.6449978730191277","0.5263656903090455","0.5263656903090455","0.5263656903090455","0.47315465784608424","0.47315465784608424","0.47315465784608424","0.7175540116743653","0.7175540116743653","0.7175540116743653"
"9","0.4677670139282778","0.4677670139282778","0.4677670139282778","0.6715792283684756","0.6715792283684756","0.6715792283684756","0.6535156582806928","0.6535156582806928","0.6535156582806928","0.6865397238143764","0.6865397238143764","0.6865397238143764","0.6578763778119793","0.6578763778119793","0.6578763778119793","0.5298173666372725","0.5298173666372725","0.5298173666372725","0.46553781019361207","0.46553781019361207","0.46553781019361207","0.7657708772590761","0.7657708772590761","0.7657708772590761"
