"Step","train-MLP_mlp_8_seed32_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_8_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_8_seed32_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_7_seed32_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_7_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_7_seed32_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_6_seed32_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_6_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_6_seed32_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_5_seed32_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_5_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_5_seed32_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_4_seed32_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_4_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_4_seed32_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_3_seed32_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_3_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_3_seed32_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_2_seed32_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_2_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_2_seed32_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_1_seed32_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_1_seed32_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_1_seed32_dev30_lambda0.0_random - QWK[High]__MAX"
"0","0.38398596720027267","0.38398596720027267","0.38398596720027267","0.7219231060893304","0.7219231060893304","0.7219231060893304","0.5761366684768741","0.5761366684768741","0.5761366684768741","0.7560089676472505","0.7560089676472505","0.7560089676472505","0.6397585534764496","0.6397585534764496","0.6397585534764496","0.5947747096312858","0.5947747096312858","0.5947747096312858","0.34960192208036933","0.34960192208036933","0.34960192208036933","0.4122568512590127","0.4122568512590127","0.4122568512590127"
"1","0.6330253800056949","0.6330253800056949","0.6330253800056949","0.6278155656740192","0.6278155656740192","0.6278155656740192","0.5776905048457591","0.5776905048457591","0.5776905048457591","0.7185965668920928","0.7185965668920928","0.7185965668920928","0.6213751493849585","0.6213751493849585","0.6213751493849585","0.6003019070128881","0.6003019070128881","0.6003019070128881","0.36807767412569037","0.36807767412569037","0.36807767412569037","0.5386386996259007","0.5386386996259007","0.5386386996259007"
"2","0.466498499002549","0.466498499002549","0.466498499002549","0.6712984769979589","0.6712984769979589","0.6712984769979589","0.5585618896404725","0.5585618896404725","0.5585618896404725","0.734841968982282","0.734841968982282","0.734841968982282","0.641441026729147","0.641441026729147","0.641441026729147","0.6085277180971437","0.6085277180971437","0.6085277180971437","0.3406386975579213","0.3406386975579213","0.3406386975579213","0.6536329866733701","0.6536329866733701","0.6536329866733701"
"3","0.48813743187557956","0.48813743187557956","0.48813743187557956","0.6542925924945238","0.6542925924945238","0.6542925924945238","0.522036883783435","0.522036883783435","0.522036883783435","0.7667071007131632","0.7667071007131632","0.7667071007131632","0.6464983103567452","0.6464983103567452","0.6464983103567452","0.6486067028601035","0.6486067028601035","0.6486067028601035","0.3327297764966135","0.3327297764966135","0.3327297764966135","0.5119347032700722","0.5119347032700722","0.5119347032700722"
"4","0.6473729421090901","0.6473729421090901","0.6473729421090901","0.6593126119189944","0.6593126119189944","0.6593126119189944","0.5489194941946436","0.5489194941946436","0.5489194941946436","0.7621116317038552","0.7621116317038552","0.7621116317038552","0.6578569637279711","0.6578569637279711","0.6578569637279711","0.6141830679839095","0.6141830679839095","0.6141830679839095","0.4101144076013187","0.4101144076013187","0.4101144076013187","0.504228695365726","0.504228695365726","0.504228695365726"
"5","0.5752267781472313","0.5752267781472313","0.5752267781472313","0.6659691998368304","0.6659691998368304","0.6659691998368304","0.4583212530758194","0.4583212530758194","0.4583212530758194","0.7637319185563652","0.7637319185563652","0.7637319185563652","0.6250932285057165","0.6250932285057165","0.6250932285057165","0.6535212621651756","0.6535212621651756","0.6535212621651756","0.4093168526398855","0.4093168526398855","0.4093168526398855","0.5271048612748163","0.5271048612748163","0.5271048612748163"
"6","0.6451912141931374","0.6451912141931374","0.6451912141931374","0.6206208341580832","0.6206208341580832","0.6206208341580832","0.47412924299713377","0.47412924299713377","0.47412924299713377","0.7827179014859764","0.7827179014859764","0.7827179014859764","0.5937211794524735","0.5937211794524735","0.5937211794524735","0.6325092318907732","0.6325092318907732","0.6325092318907732","0.4257094298810321","0.4257094298810321","0.4257094298810321","0.6208418363045418","0.6208418363045418","0.6208418363045418"
"7","0.5531618873953389","0.5531618873953389","0.5531618873953389","0.6100594661183221","0.6100594661183221","0.6100594661183221","0.5169429084924564","0.5169429084924564","0.5169429084924564","0.7801618689832858","0.7801618689832858","0.7801618689832858","0.5709992950601794","0.5709992950601794","0.5709992950601794","0.6422024683844313","0.6422024683844313","0.6422024683844313","0.49717248678273795","0.49717248678273795","0.49717248678273795","0.5843469161310479","0.5843469161310479","0.5843469161310479"
"8","0.46235599209587686","0.46235599209587686","0.46235599209587686","0.6255877140231692","0.6255877140231692","0.6255877140231692","0.4192713531521237","0.4192713531521237","0.4192713531521237","0.7716974009012157","0.7716974009012157","0.7716974009012157","0.5568006928072757","0.5568006928072757","0.5568006928072757","0.6505547764717594","0.6505547764717594","0.6505547764717594","0.549163722695706","0.549163722695706","0.549163722695706","0.5887849000494751","0.5887849000494751","0.5887849000494751"
"9","0.45421807567572803","0.45421807567572803","0.45421807567572803","0.5953256207760103","0.5953256207760103","0.5953256207760103","0.480341948468605","0.480341948468605","0.480341948468605","0.7632571174615133","0.7632571174615133","0.7632571174615133","0.5868829394684253","0.5868829394684253","0.5868829394684253","0.6514937529122253","0.6514937529122253","0.6514937529122253","0.5719803362321076","0.5719803362321076","0.5719803362321076","0.5793412938251223","0.5793412938251223","0.5793412938251223"
