"Step","train-MLP_features_model_8_seed12_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_8_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_8_seed12_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_7_seed12_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_7_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_7_seed12_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_6_seed12_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_6_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_6_seed12_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_5_seed12_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_5_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_5_seed12_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_4_seed12_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_4_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_4_seed12_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_3_seed12_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_3_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_3_seed12_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_2_seed12_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_2_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_2_seed12_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_1_seed12_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_1_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_1_seed12_dev30_lambda0.0_random - QWK[High]__MAX"
"0","0.39143275526721966","0.39143275526721966","0.39143275526721966","0.6449433685747104","0.6449433685747104","0.6449433685747104","0.5734087097526572","0.5734087097526572","0.5734087097526572","0.7082579833051555","0.7082579833051555","0.7082579833051555","0.5739345203102569","0.5739345203102569","0.5739345203102569","0.578309725820882","0.578309725820882","0.578309725820882","0.6507028735295839","0.6507028735295839","0.6507028735295839","0.7885978180797562","0.7885978180797562","0.7885978180797562"
"1","0.4136791077219355","0.4136791077219355","0.4136791077219355","0.6849667626452887","0.6849667626452887","0.6849667626452887","0.5725653627431722","0.5725653627431722","0.5725653627431722","0.7195144117560367","0.7195144117560367","0.7195144117560367","0.5327315335219623","0.5327315335219623","0.5327315335219623","0.4966711467901167","0.4966711467901167","0.4966711467901167","0.6400398987252421","0.6400398987252421","0.6400398987252421","0.7593127566658122","0.7593127566658122","0.7593127566658122"
"2","0.44345908085259833","0.44345908085259833","0.44345908085259833","0.6714773457170787","0.6714773457170787","0.6714773457170787","0.5766835951635243","0.5766835951635243","0.5766835951635243","0.7290910052325064","0.7290910052325064","0.7290910052325064","0.36758094565665467","0.36758094565665467","0.36758094565665467","0.38192818929974715","0.38192818929974715","0.38192818929974715","0.6052116716764768","0.6052116716764768","0.6052116716764768","0.7682259832007151","0.7682259832007151","0.7682259832007151"
"3","0.5091985864142217","0.5091985864142217","0.5091985864142217","0.6727820311523017","0.6727820311523017","0.6727820311523017","0.5782060845547469","0.5782060845547469","0.5782060845547469","0.7425196323106356","0.7425196323106356","0.7425196323106356","0.25260474162998947","0.25260474162998947","0.25260474162998947","0.28010049498429124","0.28010049498429124","0.28010049498429124","0.592983883563111","0.592983883563111","0.592983883563111","0.7631791682607032","0.7631791682607032","0.7631791682607032"
"4","0.5486581279070717","0.5486581279070717","0.5486581279070717","0.6567054249353722","0.6567054249353722","0.6567054249353722","0.589616420156795","0.589616420156795","0.589616420156795","0.7464864021166828","0.7464864021166828","0.7464864021166828","0.17972505856581233","0.17972505856581233","0.17972505856581233","0.23725193564785674","0.23725193564785674","0.23725193564785674","0.5828822116845036","0.5828822116845036","0.5828822116845036","0.769411234583611","0.769411234583611","0.769411234583611"
"5","0.5543580845692819","0.5543580845692819","0.5543580845692819","0.6224270279244332","0.6224270279244332","0.6224270279244332","0.5969114722034446","0.5969114722034446","0.5969114722034446","0.7342496784145048","0.7342496784145048","0.7342496784145048","0.14279290097504627","0.14279290097504627","0.14279290097504627","0.2066993246304657","0.2066993246304657","0.2066993246304657","0.5473651483277544","0.5473651483277544","0.5473651483277544","0.7654775840098683","0.7654775840098683","0.7654775840098683"
"6","0.5860941952386736","0.5860941952386736","0.5860941952386736","0.5824442890860467","0.5824442890860467","0.5824442890860467","0.6077569488837233","0.6077569488837233","0.6077569488837233","0.7346507619794788","0.7346507619794788","0.7346507619794788","0.09709513961127281","0.09709513961127281","0.09709513961127281","0.16592319592647753","0.16592319592647753","0.16592319592647753","0.5154461361992658","0.5154461361992658","0.5154461361992658","0.7560263782696055","0.7560263782696055","0.7560263782696055"
"7","0.5671824674506886","0.5671824674506886","0.5671824674506886","0.5421433452699157","0.5421433452699157","0.5421433452699157","0.6126055904206016","0.6126055904206016","0.6126055904206016","0.7074859522482344","0.7074859522482344","0.7074859522482344","0.03885209352465102","0.03885209352465102","0.03885209352465102","0.11916316672484273","0.11916316672484273","0.11916316672484273","0.47822209483078504","0.47822209483078504","0.47822209483078504","0.7565797412184018","0.7565797412184018","0.7565797412184018"
"8","0.4534517265110012","0.4534517265110012","0.4534517265110012","0.5131953501181705","0.5131953501181705","0.5131953501181705","0.6026603253623255","0.6026603253623255","0.6026603253623255","0.6989907094209571","0.6989907094209571","0.6989907094209571","0.010788190108667939","0.010788190108667939","0.010788190108667939","0.02405953797382432","0.02405953797382432","0.02405953797382432","0.4446432070055284","0.4446432070055284","0.4446432070055284","0.7768226205137931","0.7768226205137931","0.7768226205137931"
"9","0.350168078775566","0.350168078775566","0.350168078775566","0.5114931647198988","0.5114931647198988","0.5114931647198988","0.5442914264997188","0.5442914264997188","0.5442914264997188","0.6599646276697644","0.6599646276697644","0.6599646276697644","0","0","0","0","0","0","0.4530872499580605","0.4530872499580605","0.4530872499580605","0.49852149946717095","0.49852149946717095","0.49852149946717095"
