"Step","train-PAES_features_model_8_seed42_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_8_seed42_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_8_seed42_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_3_seed42_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_3_seed42_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_3_seed42_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_5_seed42_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_5_seed42_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_5_seed42_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_7_seed42_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_7_seed42_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_7_seed42_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_6_seed42_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_6_seed42_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_6_seed42_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_4_seed42_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_4_seed42_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_4_seed42_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_2_seed42_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_2_seed42_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_2_seed42_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_1_seed42_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_1_seed42_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_1_seed42_dev30_lambda0.5_random - QWK[Low]__MAX"
"0","0.6777091977250858","0.6777091977250858","0.6777091977250858","0.6105188018779","0.6105188018779","0.6105188018779","0.6924874153399275","0.6924874153399275","0.6924874153399275","0.734455790418298","0.734455790418298","0.734455790418298","0.6276773315231083","0.6276773315231083","0.6276773315231083","0.6448817899566265","0.6448817899566265","0.6448817899566265","0.6563531994325705","0.6563531994325705","0.6563531994325705","0.7834089884204929","0.7834089884204929","0.7834089884204929"
"1","0.6198755556656952","0.6198755556656952","0.6198755556656952","0.5991954947707161","0.5991954947707161","0.5991954947707161","0.7174633516967002","0.7174633516967002","0.7174633516967002","0.7202906545842804","0.7202906545842804","0.7202906545842804","0.6307459799162292","0.6307459799162292","0.6307459799162292","0.6359051190880274","0.6359051190880274","0.6359051190880274","0.611930485237195","0.611930485237195","0.611930485237195","0.7618301654669487","0.7618301654669487","0.7618301654669487"
"2","0.5967948001205526","0.5967948001205526","0.5967948001205526","0.5972262720513195","0.5972262720513195","0.5972262720513195","0.6942007214337971","0.6942007214337971","0.6942007214337971","0.736863863536128","0.736863863536128","0.736863863536128","0.6457500927927338","0.6457500927927338","0.6457500927927338","0.6111695466613096","0.6111695466613096","0.6111695466613096","0.6166902890392689","0.6166902890392689","0.6166902890392689","0.6778436251529036","0.6778436251529036","0.6778436251529036"
"3","0.5900920235393884","0.5900920235393884","0.5900920235393884","0.6321279288261686","0.6321279288261686","0.6321279288261686","0.7268478848749087","0.7268478848749087","0.7268478848749087","0.7381367028696192","0.7381367028696192","0.7381367028696192","0.546331395270407","0.546331395270407","0.546331395270407","0.6588400955160129","0.6588400955160129","0.6588400955160129","0.6286704673236152","0.6286704673236152","0.6286704673236152","0.6591074848285832","0.6591074848285832","0.6591074848285832"
"4","0.5692111407017406","0.5692111407017406","0.5692111407017406","0.6618096053503061","0.6618096053503061","0.6618096053503061","0.7253311559342177","0.7253311559342177","0.7253311559342177","0.7375573731598495","0.7375573731598495","0.7375573731598495","0.6126275145064392","0.6126275145064392","0.6126275145064392","0.6631702748656176","0.6631702748656176","0.6631702748656176","0.6209174412914388","0.6209174412914388","0.6209174412914388","0.6742251258462888","0.6742251258462888","0.6742251258462888"
"5","0.5175473007773959","0.5175473007773959","0.5175473007773959","0.6593501944274833","0.6593501944274833","0.6593501944274833","0.7306083244509105","0.7306083244509105","0.7306083244509105","0.7054923076831825","0.7054923076831825","0.7054923076831825","0.6131815262426142","0.6131815262426142","0.6131815262426142","0.6593479913398269","0.6593479913398269","0.6593479913398269","0.5415059082338813","0.5415059082338813","0.5415059082338813","0.718484750884037","0.718484750884037","0.718484750884037"
"6","0.4964985399407881","0.4964985399407881","0.4964985399407881","0.6516807530457196","0.6516807530457196","0.6516807530457196","0.7277845262973314","0.7277845262973314","0.7277845262973314","0.7057597017006184","0.7057597017006184","0.7057597017006184","0.5997137783902684","0.5997137783902684","0.5997137783902684","0.6750666962377605","0.6750666962377605","0.6750666962377605","0.5995972854053246","0.5995972854053246","0.5995972854053246","0.5444236727197086","0.5444236727197086","0.5444236727197086"
"7","0.28284969091529255","0.28284969091529255","0.28284969091529255","0.6531887048470884","0.6531887048470884","0.6531887048470884","0.6393470708253255","0.6393470708253255","0.6393470708253255","0.6568817700637883","0.6568817700637883","0.6568817700637883","0.2386481224078123","0.2386481224078123","0.2386481224078123","0.682500738821811","0.682500738821811","0.682500738821811","0.515669788250242","0.515669788250242","0.515669788250242","0.3838504212212751","0.3838504212212751","0.3838504212212751"
"8","0.40347326989531906","0.40347326989531906","0.40347326989531906","0.6433378196500672","0.6433378196500672","0.6433378196500672","0.47290939906474827","0.47290939906474827","0.47290939906474827","0.602476925989149","0.602476925989149","0.602476925989149","0.22679706152290469","0.22679706152290469","0.22679706152290469","0.6396850442007184","0.6396850442007184","0.6396850442007184","0.408306873414532","0.408306873414532","0.408306873414532","0.636112874059871","0.636112874059871","0.636112874059871"
"9","0.2488812046104676","0.2488812046104676","0.2488812046104676","0.5938365037158246","0.5938365037158246","0.5938365037158246","0.061778113888394826","0.061778113888394826","0.061778113888394826","0.618727345380586","0.618727345380586","0.618727345380586","0.13032644344577438","0.13032644344577438","0.13032644344577438","0.685001016290958","0.685001016290958","0.685001016290958","0.3674620169589178","0.3674620169589178","0.3674620169589178","0.5021580406561759","0.5021580406561759","0.5021580406561759"
