"Step","train-Transformer_mlp_8_seed12_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_8_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_8_seed12_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_7_seed12_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_7_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_7_seed12_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_6_seed12_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_6_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_6_seed12_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_5_seed12_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_5_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_5_seed12_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_4_seed12_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_4_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_4_seed12_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_3_seed12_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_3_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_3_seed12_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_2_seed12_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_2_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_2_seed12_dev30_lambda0.0_random - QWK[High]__MAX","train-Transformer_mlp_1_seed12_dev30_lambda0.0_random - QWK[High]","train-Transformer_mlp_1_seed12_dev30_lambda0.0_random - QWK[High]__MIN","train-Transformer_mlp_1_seed12_dev30_lambda0.0_random - QWK[High]__MAX"
"0","0.3925819789918452","0.3925819789918452","0.3925819789918452","0.5571656929074946","0.5571656929074946","0.5571656929074946","0.5772933654825548","0.5772933654825548","0.5772933654825548","0.7120294933337523","0.7120294933337523","0.7120294933337523","0.5935932664603565","0.5935932664603565","0.5935932664603565","0.5629108019938807","0.5629108019938807","0.5629108019938807","0.5200104300210773","0.5200104300210773","0.5200104300210773","0.5534707883131589","0.5534707883131589","0.5534707883131589"
"1","0.5044975559887719","0.5044975559887719","0.5044975559887719","0.65947611513384","0.65947611513384","0.65947611513384","0.5709119241754801","0.5709119241754801","0.5709119241754801","0.6484703910171967","0.6484703910171967","0.6484703910171967","0.6020786958052374","0.6020786958052374","0.6020786958052374","0.5236880399168293","0.5236880399168293","0.5236880399168293","0.4797169550737914","0.4797169550737914","0.4797169550737914","0.5161023949939757","0.5161023949939757","0.5161023949939757"
"2","0.39145673198345865","0.39145673198345865","0.39145673198345865","0.6204075117872088","0.6204075117872088","0.6204075117872088","0.579205206607367","0.579205206607367","0.579205206607367","0.7217049247066856","0.7217049247066856","0.7217049247066856","0.6139097227689216","0.6139097227689216","0.6139097227689216","0.537863556535594","0.537863556535594","0.537863556535594","0.35465574340801587","0.35465574340801587","0.35465574340801587","0.5332705896128893","0.5332705896128893","0.5332705896128893"
"3","0.40153743996152336","0.40153743996152336","0.40153743996152336","0.5489559694429795","0.5489559694429795","0.5489559694429795","0.541391767648554","0.541391767648554","0.541391767648554","0.6952048570646119","0.6952048570646119","0.6952048570646119","0.5679778029913654","0.5679778029913654","0.5679778029913654","0.5263687086568881","0.5263687086568881","0.5263687086568881","0.296039030796155","0.296039030796155","0.296039030796155","0.47409027990494257","0.47409027990494257","0.47409027990494257"
"4","0.33711924476788035","0.33711924476788035","0.33711924476788035","0.5385905698397346","0.5385905698397346","0.5385905698397346","0.5259828538135005","0.5259828538135005","0.5259828538135005","0.5992850649780022","0.5992850649780022","0.5992850649780022","0.5572944589411524","0.5572944589411524","0.5572944589411524","0.4977513606338959","0.4977513606338959","0.4977513606338959","0.22083406933238758","0.22083406933238758","0.22083406933238758","0.3996562452360657","0.3996562452360657","0.3996562452360657"
"5","0.2806027202561877","0.2806027202561877","0.2806027202561877","0.6587756743745263","0.6587756743745263","0.6587756743745263","0.5357847083950034","0.5357847083950034","0.5357847083950034","0.7181705875373445","0.7181705875373445","0.7181705875373445","0.48222383322677875","0.48222383322677875","0.48222383322677875","0.5070515118919565","0.5070515118919565","0.5070515118919565","0.145370703183217","0.145370703183217","0.145370703183217","0.33909889535917503","0.33909889535917503","0.33909889535917503"
"6","0.3216891721575994","0.3216891721575994","0.3216891721575994","0.6874817421641667","0.6874817421641667","0.6874817421641667","0.5440121286209764","0.5440121286209764","0.5440121286209764","0.6452074332044615","0.6452074332044615","0.6452074332044615","0.3668733626009223","0.3668733626009223","0.3668733626009223","0.46747174257207036","0.46747174257207036","0.46747174257207036","0.124464619549569","0.124464619549569","0.124464619549569","0.354478402495473","0.354478402495473","0.354478402495473"
"7","0.20780031549082234","0.20780031549082234","0.20780031549082234","0.5995104535783866","0.5995104535783866","0.5995104535783866","0.5210244999239559","0.5210244999239559","0.5210244999239559","0.7047756901170941","0.7047756901170941","0.7047756901170941","0.26658802354798505","0.26658802354798505","0.26658802354798505","0.29505915100904667","0.29505915100904667","0.29505915100904667","0.08891009922474469","0.08891009922474469","0.08891009922474469","0.37914754981919563","0.37914754981919563","0.37914754981919563"
"8","0.36587840096357616","0.36587840096357616","0.36587840096357616","0.5155147495797752","0.5155147495797752","0.5155147495797752","0.5380182287044674","0.5380182287044674","0.5380182287044674","0.667499631348097","0.667499631348097","0.667499631348097","0.12091271369350198","0.12091271369350198","0.12091271369350198","0.30326472594998966","0.30326472594998966","0.30326472594998966","0.05019849262041165","0.05019849262041165","0.05019849262041165","0.14800093293733674","0.14800093293733674","0.14800093293733674"
"9","0.27030583911776307","0.27030583911776307","0.27030583911776307","0.6815698863108866","0.6815698863108866","0.6815698863108866","0.390026718694681","0.390026718694681","0.390026718694681","0.271056481350601","0.271056481350601","0.271056481350601","-0.10126586155931472","-0.10126586155931472","-0.10126586155931472","0.09780944992594232","0.09780944992594232","0.09780944992594232","0.020271361204367233","0.020271361204367233","0.020271361204367233","0.4536353538496014","0.4536353538496014","0.4536353538496014"
