"Step","train-MLP_mlp_8_seed22_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_8_seed22_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_8_seed22_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_mlp_7_seed22_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_7_seed22_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_7_seed22_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_mlp_6_seed22_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_6_seed22_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_6_seed22_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_mlp_5_seed22_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_5_seed22_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_5_seed22_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_mlp_4_seed22_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_4_seed22_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_4_seed22_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_mlp_3_seed22_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_3_seed22_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_3_seed22_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_mlp_2_seed22_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_2_seed22_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_2_seed22_dev30_lambda0.0_random - QWK[Low]__MAX","train-MLP_mlp_1_seed22_dev30_lambda0.0_random - QWK[Low]","train-MLP_mlp_1_seed22_dev30_lambda0.0_random - QWK[Low]__MIN","train-MLP_mlp_1_seed22_dev30_lambda0.0_random - QWK[Low]__MAX"
"0","0.5884659670620174","0.5884659670620174","0.5884659670620174","0.6245084347060709","0.6245084347060709","0.6245084347060709","0.6016666039045226","0.6016666039045226","0.6016666039045226","0.7079241937720044","0.7079241937720044","0.7079241937720044","0.6210949643403898","0.6210949643403898","0.6210949643403898","0.5710618436406067","0.5710618436406067","0.5710618436406067","0.27934289581127214","0.27934289581127214","0.27934289581127214","0.496271979445822","0.496271979445822","0.496271979445822"
"1","0.5108766306883161","0.5108766306883161","0.5108766306883161","0.7096783150687318","0.7096783150687318","0.7096783150687318","0.5756650167499759","0.5756650167499759","0.5756650167499759","0.7109369489368734","0.7109369489368734","0.7109369489368734","0.6510469326035051","0.6510469326035051","0.6510469326035051","0.5214822771213748","0.5214822771213748","0.5214822771213748","0.20317484574681466","0.20317484574681466","0.20317484574681466","0.5160671931465001","0.5160671931465001","0.5160671931465001"
"2","0.48628859462816854","0.48628859462816854","0.48628859462816854","0.6695891204424533","0.6695891204424533","0.6695891204424533","0.5753919861740667","0.5753919861740667","0.5753919861740667","0.7285754855058217","0.7285754855058217","0.7285754855058217","0.5566150518681485","0.5566150518681485","0.5566150518681485","0.5233529323081563","0.5233529323081563","0.5233529323081563","0.2553329260205014","0.2553329260205014","0.2553329260205014","0.5118656228936325","0.5118656228936325","0.5118656228936325"
"3","0.5458043085177336","0.5458043085177336","0.5458043085177336","0.7150305190202985","0.7150305190202985","0.7150305190202985","0.5916908079275303","0.5916908079275303","0.5916908079275303","0.5986038352930698","0.5986038352930698","0.5986038352930698","0.5797661081532071","0.5797661081532071","0.5797661081532071","0.49595352763020706","0.49595352763020706","0.49595352763020706","0.15955470511761494","0.15955470511761494","0.15955470511761494","0.524169703891108","0.524169703891108","0.524169703891108"
"4","0.585962290579567","0.585962290579567","0.585962290579567","0.7019649398911323","0.7019649398911323","0.7019649398911323","0.5835947763926145","0.5835947763926145","0.5835947763926145","0.5736746809873381","0.5736746809873381","0.5736746809873381","0.4206388150955741","0.4206388150955741","0.4206388150955741","0.4401912742939659","0.4401912742939659","0.4401912742939659","0.12330085490503884","0.12330085490503884","0.12330085490503884","0.6270003369326956","0.6270003369326956","0.6270003369326956"
"5","0.4979529040601489","0.4979529040601489","0.4979529040601489","0.6798718078503085","0.6798718078503085","0.6798718078503085","0.582919603636735","0.582919603636735","0.582919603636735","0.5328630676959438","0.5328630676959438","0.5328630676959438","0.4290463964175343","0.4290463964175343","0.4290463964175343","0.3423155971683033","0.3423155971683033","0.3423155971683033","0.06242723525729621","0.06242723525729621","0.06242723525729621","0.5524110915551719","0.5524110915551719","0.5524110915551719"
"6","0.28393917519356027","0.28393917519356027","0.28393917519356027","0.6429452162722236","0.6429452162722236","0.6429452162722236","0.43160739203592136","0.43160739203592136","0.43160739203592136","0.5342665360259367","0.5342665360259367","0.5342665360259367","0.3568917419948562","0.3568917419948562","0.3568917419948562","0.2251754063513881","0.2251754063513881","0.2251754063513881","0.058501811888149735","0.058501811888149735","0.058501811888149735","0.6336411971508205","0.6336411971508205","0.6336411971508205"
"7","0.11350203339108911","0.11350203339108911","0.11350203339108911","0.542268634229053","0.542268634229053","0.542268634229053","0.43812575170655","0.43812575170655","0.43812575170655","0.32314884392014886","0.32314884392014886","0.32314884392014886","0.09384814858198653","0.09384814858198653","0.09384814858198653","0.16789175005137447","0.16789175005137447","0.16789175005137447","0.04704345079533112","0.04704345079533112","0.04704345079533112","0.6653785385053494","0.6653785385053494","0.6653785385053494"
"8","0.01568808317856807","0.01568808317856807","0.01568808317856807","0.4997612274799075","0.4997612274799075","0.4997612274799075","0.3315735833199843","0.3315735833199843","0.3315735833199843","0.3084777657774018","0.3084777657774018","0.3084777657774018","-0.1375034176641048","-0.1375034176641048","-0.1375034176641048","0.14513210278682587","0.14513210278682587","0.14513210278682587","0.018011801624034818","0.018011801624034818","0.018011801624034818","0.7426868604666426","0.7426868604666426","0.7426868604666426"
"9","0.008601968146587313","0.008601968146587313","0.008601968146587313","0.3377843470301847","0.3377843470301847","0.3377843470301847","0.027137853736038053","0.027137853736038053","0.027137853736038053","-0.38064785442137894","-0.38064785442137894","-0.38064785442137894","-0.5739942840659671","-0.5739942840659671","-0.5739942840659671","0.0415981268246417","0.0415981268246417","0.0415981268246417","0","0","0","0.7727480542593436","0.7727480542593436","0.7727480542593436"
