"Step","train-MLP_features_model_8_seed42_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_8_seed42_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_8_seed42_dev30_lambda0.5_random - QWK[High]__MAX","train-MLP_features_model_7_seed42_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_7_seed42_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_7_seed42_dev30_lambda0.5_random - QWK[High]__MAX","train-MLP_features_model_6_seed42_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_6_seed42_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_6_seed42_dev30_lambda0.5_random - QWK[High]__MAX","train-MLP_features_model_5_seed42_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_5_seed42_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_5_seed42_dev30_lambda0.5_random - QWK[High]__MAX","train-MLP_features_model_4_seed42_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_4_seed42_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_4_seed42_dev30_lambda0.5_random - QWK[High]__MAX","train-MLP_features_model_3_seed42_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_3_seed42_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_3_seed42_dev30_lambda0.5_random - QWK[High]__MAX","train-MLP_features_model_2_seed42_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_2_seed42_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_2_seed42_dev30_lambda0.5_random - QWK[High]__MAX","train-MLP_features_model_1_seed42_dev30_lambda0.5_random - QWK[High]","train-MLP_features_model_1_seed42_dev30_lambda0.5_random - QWK[High]__MIN","train-MLP_features_model_1_seed42_dev30_lambda0.5_random - QWK[High]__MAX"
"0","0.418224476820099","0.418224476820099","0.418224476820099","0.6578047516625946","0.6578047516625946","0.6578047516625946","0.5725298429291709","0.5725298429291709","0.5725298429291709","0.704586299818158","0.704586299818158","0.704586299818158","0.5770230136142316","0.5770230136142316","0.5770230136142316","0.5732782701092136","0.5732782701092136","0.5732782701092136","0.6505952972670176","0.6505952972670176","0.6505952972670176","0.7924894855583099","0.7924894855583099","0.7924894855583099"
"1","0.4366694334989346","0.4366694334989346","0.4366694334989346","0.6666033554586883","0.6666033554586883","0.6666033554586883","0.5321061025451712","0.5321061025451712","0.5321061025451712","0.6501134525555499","0.6501134525555499","0.6501134525555499","0.5555848668399732","0.5555848668399732","0.5555848668399732","0.5474394690946978","0.5474394690946978","0.5474394690946978","0.642854193471665","0.642854193471665","0.642854193471665","0.7622907748815633","0.7622907748815633","0.7622907748815633"
"2","0.43660085436520246","0.43660085436520246","0.43660085436520246","0.6423782828899933","0.6423782828899933","0.6423782828899933","0.47648496934660856","0.47648496934660856","0.47648496934660856","0.6387177778383153","0.6387177778383153","0.6387177778383153","0.5469199073175742","0.5469199073175742","0.5469199073175742","0.5272656033926431","0.5272656033926431","0.5272656033926431","0.6078655006758839","0.6078655006758839","0.6078655006758839","0.7042824510344488","0.7042824510344488","0.7042824510344488"
"3","0.5307906338678718","0.5307906338678718","0.5307906338678718","0.6126295373266586","0.6126295373266586","0.6126295373266586","0.3996439849720579","0.3996439849720579","0.3996439849720579","0.6404867195687318","0.6404867195687318","0.6404867195687318","0.5280674145837853","0.5280674145837853","0.5280674145837853","0.5098323135130085","0.5098323135130085","0.5098323135130085","0.5901790533146198","0.5901790533146198","0.5901790533146198","0.6639690081897395","0.6639690081897395","0.6639690081897395"
"4","0.6228159667318598","0.6228159667318598","0.6228159667318598","0.5261284333220106","0.5261284333220106","0.5261284333220106","0.3992494599037725","0.3992494599037725","0.3992494599037725","0.65303063534903","0.65303063534903","0.65303063534903","0.5202827976729035","0.5202827976729035","0.5202827976729035","0.5013724984163479","0.5013724984163479","0.5013724984163479","0.5771546013725278","0.5771546013725278","0.5771546013725278","0.6228903180309174","0.6228903180309174","0.6228903180309174"
"5","0.605363254564033","0.605363254564033","0.605363254564033","0.4889547243875382","0.4889547243875382","0.4889547243875382","0.37557438987031555","0.37557438987031555","0.37557438987031555","0.6765640420638455","0.6765640420638455","0.6765640420638455","0.5168232950142562","0.5168232950142562","0.5168232950142562","0.5097419324621799","0.5097419324621799","0.5097419324621799","0.5558569836161519","0.5558569836161519","0.5558569836161519","0.5630021000434957","0.5630021000434957","0.5630021000434957"
"6","0.507800621768024","0.507800621768024","0.507800621768024","0.436614350930858","0.436614350930858","0.436614350930858","0.2696628212869109","0.2696628212869109","0.2696628212869109","0.701102719205795","0.701102719205795","0.701102719205795","0.4879211631195719","0.4879211631195719","0.4879211631195719","0.5133643671321737","0.5133643671321737","0.5133643671321737","0.5253152795338856","0.5253152795338856","0.5253152795338856","0.4961845875752027","0.4961845875752027","0.4961845875752027"
"7","0.46858623261429433","0.46858623261429433","0.46858623261429433","0.43755374634060573","0.43755374634060573","0.43755374634060573","0.08631885793110639","0.08631885793110639","0.08631885793110639","0.7315929785384622","0.7315929785384622","0.7315929785384622","0.4780894943544989","0.4780894943544989","0.4780894943544989","0.5223464330989973","0.5223464330989973","0.5223464330989973","0.49578984315826424","0.49578984315826424","0.49578984315826424","0.4513695396483187","0.4513695396483187","0.4513695396483187"
"8","0.3230203677381488","0.3230203677381488","0.3230203677381488","0.421259291303107","0.421259291303107","0.421259291303107","0.021531338349870532","0.021531338349870532","0.021531338349870532","0.7091497139227773","0.7091497139227773","0.7091497139227773","0.4721105026222412","0.4721105026222412","0.4721105026222412","0.5259521903236875","0.5259521903236875","0.5259521903236875","0.47509638060808046","0.47509638060808046","0.47509638060808046","0.4258467355241865","0.4258467355241865","0.4258467355241865"
"9","0.1593499884550561","0.1593499884550561","0.1593499884550561","0.35512177147633894","0.35512177147633894","0.35512177147633894","0.0007950933529820015","0.0007950933529820015","0.0007950933529820015","0.3026317201230214","0.3026317201230214","0.3026317201230214","0.4548329273442371","0.4548329273442371","0.4548329273442371","0.5156219253558387","0.5156219253558387","0.5156219253558387","0.4529220693240036","0.4529220693240036","0.4529220693240036","0.38960468771724865","0.38960468771724865","0.38960468771724865"
