"Step","train-PAES_features_model_8_seed42_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_8_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_8_seed42_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_5_seed42_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_5_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_5_seed42_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_7_seed42_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_7_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_7_seed42_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_3_seed42_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_3_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_3_seed42_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_6_seed42_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_6_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_6_seed42_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_4_seed42_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_4_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_4_seed42_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_2_seed42_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_2_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_2_seed42_dev30_lambda0.0_random - QWK[Low]__MAX","train-PAES_features_model_1_seed42_dev30_lambda0.0_random - QWK[Low]","train-PAES_features_model_1_seed42_dev30_lambda0.0_random - QWK[Low]__MIN","train-PAES_features_model_1_seed42_dev30_lambda0.0_random - QWK[Low]__MAX"
"0","0.6777091977250858","0.6777091977250858","0.6777091977250858","0.6924874153399275","0.6924874153399275","0.6924874153399275","0.734455790418298","0.734455790418298","0.734455790418298","0.6105188018779","0.6105188018779","0.6105188018779","0.6144481377439038","0.6144481377439038","0.6144481377439038","0.6077407190480772","0.6077407190480772","0.6077407190480772","0.6133562759663987","0.6133562759663987","0.6133562759663987","0.7878626007308978","0.7878626007308978","0.7878626007308978"
"1","0.6260595309007265","0.6260595309007265","0.6260595309007265","0.7306454118821326","0.7306454118821326","0.7306454118821326","0.7437572639881893","0.7437572639881893","0.7437572639881893","0.6378357297883885","0.6378357297883885","0.6378357297883885","0.6460488606464108","0.6460488606464108","0.6460488606464108","0.6372630081869071","0.6372630081869071","0.6372630081869071","0.5633224339520455","0.5633224339520455","0.5633224339520455","0.7472238693426688","0.7472238693426688","0.7472238693426688"
"2","0.5776087832440324","0.5776087832440324","0.5776087832440324","0.7435327421905507","0.7435327421905507","0.7435327421905507","0.7292454358321641","0.7292454358321641","0.7292454358321641","0.6767445518253787","0.6767445518253787","0.6767445518253787","0.6321727858085422","0.6321727858085422","0.6321727858085422","0.6468652068606375","0.6468652068606375","0.6468652068606375","0.6651129814227149","0.6651129814227149","0.6651129814227149","0.6779673543569844","0.6779673543569844","0.6779673543569844"
"3","0.5710455722190444","0.5710455722190444","0.5710455722190444","0.7336208536817403","0.7336208536817403","0.7336208536817403","0.7536474095829113","0.7536474095829113","0.7536474095829113","0.6641973802323453","0.6641973802323453","0.6641973802323453","0.5770096682767567","0.5770096682767567","0.5770096682767567","0.617196665852224","0.617196665852224","0.617196665852224","0.4960987987982288","0.4960987987982288","0.4960987987982288","0.7086370597701387","0.7086370597701387","0.7086370597701387"
"4","0.5637013537399211","0.5637013537399211","0.5637013537399211","0.7152337542945433","0.7152337542945433","0.7152337542945433","0.6948598581310355","0.6948598581310355","0.6948598581310355","0.638356623544528","0.638356623544528","0.638356623544528","0.5589849214914209","0.5589849214914209","0.5589849214914209","0.6475158472261415","0.6475158472261415","0.6475158472261415","0.5744524614215334","0.5744524614215334","0.5744524614215334","0.6738429347858215","0.6738429347858215","0.6738429347858215"
"5","0.49904179955281014","0.49904179955281014","0.49904179955281014","0.6952809185523612","0.6952809185523612","0.6952809185523612","0.7495527062185774","0.7495527062185774","0.7495527062185774","0.6646783127396676","0.6646783127396676","0.6646783127396676","0.6122669248964812","0.6122669248964812","0.6122669248964812","0.6572692684531306","0.6572692684531306","0.6572692684531306","0.5850734323378528","0.5850734323378528","0.5850734323378528","0.637680951068335","0.637680951068335","0.637680951068335"
"6","0.5080270181916708","0.5080270181916708","0.5080270181916708","0.7453476546406754","0.7453476546406754","0.7453476546406754","0.7332809214372314","0.7332809214372314","0.7332809214372314","0.6351075842167995","0.6351075842167995","0.6351075842167995","0.5759018597833678","0.5759018597833678","0.5759018597833678","0.6554110027879926","0.6554110027879926","0.6554110027879926","0.5673014924021405","0.5673014924021405","0.5673014924021405","0.6073780758009082","0.6073780758009082","0.6073780758009082"
"7","0.2709527943146953","0.2709527943146953","0.2709527943146953","0.7556868621877622","0.7556868621877622","0.7556868621877622","0.6396235394223233","0.6396235394223233","0.6396235394223233","0.6486145364862904","0.6486145364862904","0.6486145364862904","0.3327798251718095","0.3327798251718095","0.3327798251718095","0.6674075371110264","0.6674075371110264","0.6674075371110264","0.45038863226201564","0.45038863226201564","0.45038863226201564","0.48848785548194307","0.48848785548194307","0.48848785548194307"
"8","0.3920677824057138","0.3920677824057138","0.3920677824057138","0.7455504029780786","0.7455504029780786","0.7455504029780786","0.5446206668106395","0.5446206668106395","0.5446206668106395","0.6212709371516072","0.6212709371516072","0.6212709371516072","0.21412485347702614","0.21412485347702614","0.21412485347702614","0.6595391491214537","0.6595391491214537","0.6595391491214537","0.4576476706010588","0.4576476706010588","0.4576476706010588","0.5929766212936127","0.5929766212936127","0.5929766212936127"
"9","0.21193045674313205","0.21193045674313205","0.21193045674313205","0.7152544653319031","0.7152544653319031","0.7152544653319031","0.37917985045448266","0.37917985045448266","0.37917985045448266","0.5659657158720244","0.5659657158720244","0.5659657158720244","0.07823479229377728","0.07823479229377728","0.07823479229377728","0.6849194134160184","0.6849194134160184","0.6849194134160184","0.21365757988209888","0.21365757988209888","0.21365757988209888","0.47154153457500514","0.47154153457500514","0.47154153457500514"
