"Step","train-PAES_features_model_8_seed12_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_8_seed12_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_8_seed12_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_7_seed12_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_7_seed12_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_7_seed12_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_6_seed12_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_6_seed12_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_6_seed12_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_5_seed12_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_5_seed12_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_5_seed12_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_4_seed12_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_4_seed12_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_4_seed12_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_3_seed12_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_3_seed12_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_3_seed12_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_2_seed12_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_2_seed12_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_2_seed12_dev30_lambda0.5_random - QWK[Low]__MAX","train-PAES_features_model_1_seed12_dev30_lambda0.5_random - QWK[Low]","train-PAES_features_model_1_seed12_dev30_lambda0.5_random - QWK[Low]__MIN","train-PAES_features_model_1_seed12_dev30_lambda0.5_random - QWK[Low]__MAX"
"0","0.6834520954453852","0.6834520954453852","0.6834520954453852","0.7359514876731055","0.7359514876731055","0.7359514876731055","0.6225079499963486","0.6225079499963486","0.6225079499963486","0.7309819732266092","0.7309819732266092","0.7309819732266092","0.6346891518834878","0.6346891518834878","0.6346891518834878","0.6355046397901849","0.6355046397901849","0.6355046397901849","0.5799659321828234","0.5799659321828234","0.5799659321828234","0.750862300527839","0.750862300527839","0.750862300527839"
"1","0.5887290434543053","0.5887290434543053","0.5887290434543053","0.7320826265174047","0.7320826265174047","0.7320826265174047","0.6273241302022312","0.6273241302022312","0.6273241302022312","0.742931668988984","0.742931668988984","0.742931668988984","0.5863799049750544","0.5863799049750544","0.5863799049750544","0.6098197469693146","0.6098197469693146","0.6098197469693146","0.5772780875840233","0.5772780875840233","0.5772780875840233","0.757738971627364","0.757738971627364","0.757738971627364"
"2","0.5691412819975732","0.5691412819975732","0.5691412819975732","0.7461209162023251","0.7461209162023251","0.7461209162023251","0.6324436392814335","0.6324436392814335","0.6324436392814335","0.7533671894594884","0.7533671894594884","0.7533671894594884","0.5367504717496836","0.5367504717496836","0.5367504717496836","0.6321079311684822","0.6321079311684822","0.6321079311684822","0.5875492064679716","0.5875492064679716","0.5875492064679716","0.713566879169936","0.713566879169936","0.713566879169936"
"3","0.4749639776253368","0.4749639776253368","0.4749639776253368","0.7345726531735082","0.7345726531735082","0.7345726531735082","0.6150515288746101","0.6150515288746101","0.6150515288746101","0.7452141773464753","0.7452141773464753","0.7452141773464753","0.4163580675588012","0.4163580675588012","0.4163580675588012","0.626154324517668","0.626154324517668","0.626154324517668","0.6178665884186451","0.6178665884186451","0.6178665884186451","0.7278128517055783","0.7278128517055783","0.7278128517055783"
"4","0.3950831644385393","0.3950831644385393","0.3950831644385393","0.7326043039079972","0.7326043039079972","0.7326043039079972","0.6495297029608988","0.6495297029608988","0.6495297029608988","0.7582046670730415","0.7582046670730415","0.7582046670730415","0.35143372177622","0.35143372177622","0.35143372177622","0.6152197658828873","0.6152197658828873","0.6152197658828873","0.5785759366572953","0.5785759366572953","0.5785759366572953","0.760672829273854","0.760672829273854","0.760672829273854"
"5","0.4554523005847593","0.4554523005847593","0.4554523005847593","0.7281105982298836","0.7281105982298836","0.7281105982298836","0.6175610753652805","0.6175610753652805","0.6175610753652805","0.7721488886800103","0.7721488886800103","0.7721488886800103","0.37774327338776836","0.37774327338776836","0.37774327338776836","0.6515488918703347","0.6515488918703347","0.6515488918703347","0.5316191923197668","0.5316191923197668","0.5316191923197668","0.6235538097998102","0.6235538097998102","0.6235538097998102"
"6","0.26976985483462523","0.26976985483462523","0.26976985483462523","0.6657671099132301","0.6657671099132301","0.6657671099132301","0.6120228775940972","0.6120228775940972","0.6120228775940972","0.7530204765121692","0.7530204765121692","0.7530204765121692","0.3243717923841728","0.3243717923841728","0.3243717923841728","0.6003608878774613","0.6003608878774613","0.6003608878774613","0.4805753962516346","0.4805753962516346","0.4805753962516346","0.6142876479002416","0.6142876479002416","0.6142876479002416"
"7","0.2592732637120376","0.2592732637120376","0.2592732637120376","0.6301044274094925","0.6301044274094925","0.6301044274094925","0.6453954210821166","0.6453954210821166","0.6453954210821166","0.7555159833605976","0.7555159833605976","0.7555159833605976","0.30361417035973914","0.30361417035973914","0.30361417035973914","0.649677445227766","0.649677445227766","0.649677445227766","0.4760105166814854","0.4760105166814854","0.4760105166814854","0.6127658438235148","0.6127658438235148","0.6127658438235148"
"8","0.31066804887609334","0.31066804887609334","0.31066804887609334","0.5481620444186187","0.5481620444186187","0.5481620444186187","0.6104338562656402","0.6104338562656402","0.6104338562656402","0.7254088168403909","0.7254088168403909","0.7254088168403909","0.18638986569410487","0.18638986569410487","0.18638986569410487","0.5435817416895455","0.5435817416895455","0.5435817416895455","0.2915319518307343","0.2915319518307343","0.2915319518307343","0.5384318187248514","0.5384318187248514","0.5384318187248514"
"9","0.2361109542355878","0.2361109542355878","0.2361109542355878","0.45205534016027715","0.45205534016027715","0.45205534016027715","0.5644112368734342","0.5644112368734342","0.5644112368734342","0.6751708712860303","0.6751708712860303","0.6751708712860303","0.1732445799020801","0.1732445799020801","0.1732445799020801","0.13570739851550817","0.13570739851550817","0.13570739851550817","0.3250412833997627","0.3250412833997627","0.3250412833997627","0.5218937607880774","0.5218937607880774","0.5218937607880774"
