"Step","train-MLP_features_model_8_seed42_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_8_seed42_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_8_seed42_dev30_lambda0.5_random - QWK[Low]__MAX","train-MLP_features_model_7_seed42_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_7_seed42_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_7_seed42_dev30_lambda0.5_random - QWK[Low]__MAX","train-MLP_features_model_6_seed42_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_6_seed42_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_6_seed42_dev30_lambda0.5_random - QWK[Low]__MAX","train-MLP_features_model_5_seed42_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_5_seed42_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_5_seed42_dev30_lambda0.5_random - QWK[Low]__MAX","train-MLP_features_model_4_seed42_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_4_seed42_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_4_seed42_dev30_lambda0.5_random - QWK[Low]__MAX","train-MLP_features_model_3_seed42_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_3_seed42_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_3_seed42_dev30_lambda0.5_random - QWK[Low]__MAX","train-MLP_features_model_2_seed42_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_2_seed42_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_2_seed42_dev30_lambda0.5_random - QWK[Low]__MAX","train-MLP_features_model_1_seed42_dev30_lambda0.5_random - QWK[Low]","train-MLP_features_model_1_seed42_dev30_lambda0.5_random - QWK[Low]__MIN","train-MLP_features_model_1_seed42_dev30_lambda0.5_random - QWK[Low]__MAX"
"0","0.418224476820099","0.418224476820099","0.418224476820099","0.6578047516625946","0.6578047516625946","0.6578047516625946","0.5725298429291709","0.5725298429291709","0.5725298429291709","0.704586299818158","0.704586299818158","0.704586299818158","0.5770230136142316","0.5770230136142316","0.5770230136142316","0.5732782701092136","0.5732782701092136","0.5732782701092136","0.6505952972670176","0.6505952972670176","0.6505952972670176","0.7924894855583099","0.7924894855583099","0.7924894855583099"
"1","0.3868838924516088","0.3868838924516088","0.3868838924516088","0.6656635451621393","0.6656635451621393","0.6656635451621393","0.573324183618932","0.573324183618932","0.573324183618932","0.6773440034985685","0.6773440034985685","0.6773440034985685","0.5871090832817067","0.5871090832817067","0.5871090832817067","0.5848861729138874","0.5848861729138874","0.5848861729138874","0.6439015683308627","0.6439015683308627","0.6439015683308627","0.757188919678515","0.757188919678515","0.757188919678515"
"2","0.3775460252895029","0.3775460252895029","0.3775460252895029","0.6696264765868822","0.6696264765868822","0.6696264765868822","0.5604106259457479","0.5604106259457479","0.5604106259457479","0.6657359005162505","0.6657359005162505","0.6657359005162505","0.5953817053802042","0.5953817053802042","0.5953817053802042","0.5820313328104132","0.5820313328104132","0.5820313328104132","0.6258188865622886","0.6258188865622886","0.6258188865622886","0.7576465294929964","0.7576465294929964","0.7576465294929964"
"3","0.3592379658677318","0.3592379658677318","0.3592379658677318","0.6568357883862637","0.6568357883862637","0.6568357883862637","0.5674803622116653","0.5674803622116653","0.5674803622116653","0.6574664561850371","0.6574664561850371","0.6574664561850371","0.606520607848807","0.606520607848807","0.606520607848807","0.5850817310703326","0.5850817310703326","0.5850817310703326","0.6111451032908906","0.6111451032908906","0.6111451032908906","0.759265735298144","0.759265735298144","0.759265735298144"
"4","0.33722295986852024","0.33722295986852024","0.33722295986852024","0.665872472522448","0.665872472522448","0.665872472522448","0.5719555195292261","0.5719555195292261","0.5719555195292261","0.6559982053488007","0.6559982053488007","0.6559982053488007","0.6232721805210107","0.6232721805210107","0.6232721805210107","0.5922199797149852","0.5922199797149852","0.5922199797149852","0.5925904214783984","0.5925904214783984","0.5925904214783984","0.7709374382533223","0.7709374382533223","0.7709374382533223"
"5","0.33819319506267664","0.33819319506267664","0.33819319506267664","0.6859956644295921","0.6859956644295921","0.6859956644295921","0.5956804467575316","0.5956804467575316","0.5956804467575316","0.651335856499186","0.651335856499186","0.651335856499186","0.6352532858017865","0.6352532858017865","0.6352532858017865","0.5870832695154949","0.5870832695154949","0.5870832695154949","0.5493744409749554","0.5493744409749554","0.5493744409749554","0.773781635017093","0.773781635017093","0.773781635017093"
"6","0.3461827783599072","0.3461827783599072","0.3461827783599072","0.7153216841884393","0.7153216841884393","0.7153216841884393","0.6029619415131056","0.6029619415131056","0.6029619415131056","0.6462239395681261","0.6462239395681261","0.6462239395681261","0.6344865517831675","0.6344865517831675","0.6344865517831675","0.5845428378957682","0.5845428378957682","0.5845428378957682","0.5186156021902537","0.5186156021902537","0.5186156021902537","0.7516740450619331","0.7516740450619331","0.7516740450619331"
"7","0.35715733773703373","0.35715733773703373","0.35715733773703373","0.7035328926349453","0.7035328926349453","0.7035328926349453","0.22895295018598905","0.22895295018598905","0.22895295018598905","0.5765299545245968","0.5765299545245968","0.5765299545245968","0.596665574896748","0.596665574896748","0.596665574896748","0.5786578657865786","0.5786578657865786","0.5786578657865786","0.49171064039944457","0.49171064039944457","0.49171064039944457","0.7560579780461987","0.7560579780461987","0.7560579780461987"
"8","0.41552453594052774","0.41552453594052774","0.41552453594052774","0.6619545031537417","0.6619545031537417","0.6619545031537417","0.00037316614964011396","0.00037316614964011396","0.00037316614964011396","0.2882371920884398","0.2882371920884398","0.2882371920884398","0.49305551710071427","0.49305551710071427","0.49305551710071427","0.5371256089576419","0.5371256089576419","0.5371256089576419","0.45475402312802105","0.45475402312802105","0.45475402312802105","0.7781867537045707","0.7781867537045707","0.7781867537045707"
"9","0.3385048381898976","0.3385048381898976","0.3385048381898976","0.07510679222084038","0.07510679222084038","0.07510679222084038","-0.07370309895737215","-0.07370309895737215","-0.07370309895737215","0.2556182426880286","0.2556182426880286","0.2556182426880286","0.20072403356659818","0.20072403356659818","0.20072403356659818","0.43663787053223924","0.43663787053223924","0.43663787053223924","0.4435246747670183","0.4435246747670183","0.4435246747670183","0.7978165141975196","0.7978165141975196","0.7978165141975196"
