"Step","train-MLP_features_model_8_seed22_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_8_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_8_seed22_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_7_seed22_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_7_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_7_seed22_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_6_seed22_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_6_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_6_seed22_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_5_seed22_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_5_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_5_seed22_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_4_seed22_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_4_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_4_seed22_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_3_seed22_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_3_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_3_seed22_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_2_seed22_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_2_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_2_seed22_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_features_model_1_seed22_dev30_lambda0.0_random - QWK[High]","train-MLP_features_model_1_seed22_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_features_model_1_seed22_dev30_lambda0.0_random - QWK[High]__MAX"
"0","0.4239307052708293","0.4239307052708293","0.4239307052708293","0.6566864118056828","0.6566864118056828","0.6566864118056828","0.5637556348423568","0.5637556348423568","0.5637556348423568","0.7118357927407888","0.7118357927407888","0.7118357927407888","0.5752955507229105","0.5752955507229105","0.5752955507229105","0.5787784867821331","0.5787784867821331","0.5787784867821331","0.6485578094012039","0.6485578094012039","0.6485578094012039","0.7874299592695182","0.7874299592695182","0.7874299592695182"
"1","0.4701263303072758","0.4701263303072758","0.4701263303072758","0.6491644824838053","0.6491644824838053","0.6491644824838053","0.5429014139066435","0.5429014139066435","0.5429014139066435","0.7160451955218825","0.7160451955218825","0.7160451955218825","0.5875173285471809","0.5875173285471809","0.5875173285471809","0.562688512381307","0.562688512381307","0.562688512381307","0.6401579113753249","0.6401579113753249","0.6401579113753249","0.8128179303566543","0.8128179303566543","0.8128179303566543"
"2","0.5093710848995419","0.5093710848995419","0.5093710848995419","0.6542120233760531","0.6542120233760531","0.6542120233760531","0.5245824216096531","0.5245824216096531","0.5245824216096531","0.7059677217046605","0.7059677217046605","0.7059677217046605","0.5956132774488168","0.5956132774488168","0.5956132774488168","0.5230914231856738","0.5230914231856738","0.5230914231856738","0.6339619168858657","0.6339619168858657","0.6339619168858657","0.8057364336584842","0.8057364336584842","0.8057364336584842"
"3","0.5516312800311487","0.5516312800311487","0.5516312800311487","0.6697947331774229","0.6697947331774229","0.6697947331774229","0.5011394849717579","0.5011394849717579","0.5011394849717579","0.7004098641855336","0.7004098641855336","0.7004098641855336","0.6081133085973209","0.6081133085973209","0.6081133085973209","0.49965657953214015","0.49965657953214015","0.49965657953214015","0.6397830905757916","0.6397830905757916","0.6397830905757916","0.7992523481907572","0.7992523481907572","0.7992523481907572"
"4","0.5650763899750837","0.5650763899750837","0.5650763899750837","0.6283389070056156","0.6283389070056156","0.6283389070056156","0.4726513351612618","0.4726513351612618","0.4726513351612618","0.699925011441491","0.699925011441491","0.699925011441491","0.6198065745711708","0.6198065745711708","0.6198065745711708","0.48225333767502443","0.48225333767502443","0.48225333767502443","0.655203215721304","0.655203215721304","0.655203215721304","0.797615212455064","0.797615212455064","0.797615212455064"
"5","0.5843974011332902","0.5843974011332902","0.5843974011332902","0.5704072394022428","0.5704072394022428","0.5704072394022428","0.4595179392458205","0.4595179392458205","0.4595179392458205","0.6976432623027791","0.6976432623027791","0.6976432623027791","0.6375168330070198","0.6375168330070198","0.6375168330070198","0.4515460499046672","0.4515460499046672","0.4515460499046672","0.6586117454053693","0.6586117454053693","0.6586117454053693","0.7903052096078413","0.7903052096078413","0.7903052096078413"
"6","0.5926781541486701","0.5926781541486701","0.5926781541486701","0.51244797737265","0.51244797737265","0.51244797737265","0.45066093555502906","0.45066093555502906","0.45066093555502906","0.6913624859864815","0.6913624859864815","0.6913624859864815","0.6418010380488284","0.6418010380488284","0.6418010380488284","0.406834517254424","0.406834517254424","0.406834517254424","0.6526854752885667","0.6526854752885667","0.6526854752885667","0.7856184172372658","0.7856184172372658","0.7856184172372658"
"7","0.5746549345470642","0.5746549345470642","0.5746549345470642","0.48093171560430215","0.48093171560430215","0.48093171560430215","0.43786341940141793","0.43786341940141793","0.43786341940141793","0.6465759047041659","0.6465759047041659","0.6465759047041659","0.6436395522117249","0.6436395522117249","0.6436395522117249","0.38296878318114247","0.38296878318114247","0.38296878318114247","0.6522638030657193","0.6522638030657193","0.6522638030657193","0.7820183595101527","0.7820183595101527","0.7820183595101527"
"8","0.5553234263151386","0.5553234263151386","0.5553234263151386","0.46722446474263646","0.46722446474263646","0.46722446474263646","0.3908398838121723","0.3908398838121723","0.3908398838121723","0.43191847516118764","0.43191847516118764","0.43191847516118764","0.6237477702558686","0.6237477702558686","0.6237477702558686","0.39337133206670893","0.39337133206670893","0.39337133206670893","0.6277465445707412","0.6277465445707412","0.6277465445707412","0.6164759580232234","0.6164759580232234","0.6164759580232234"
"9","0.5353600535203755","0.5353600535203755","0.5353600535203755","0.4327744457096544","0.4327744457096544","0.4327744457096544","0.2831895188936294","0.2831895188936294","0.2831895188936294","0.05666162462695701","0.05666162462695701","0.05666162462695701","0.551781153571528","0.551781153571528","0.551781153571528","0.41602471678681774","0.41602471678681774","0.41602471678681774","0.543373105449855","0.543373105449855","0.543373105449855","-0.014824929872061299","-0.014824929872061299","-0.014824929872061299"
