"Step","train-MLP_mlp_8_seed42_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_8_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_8_seed42_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_7_seed42_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_7_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_7_seed42_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_6_seed42_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_6_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_6_seed42_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_5_seed42_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_5_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_5_seed42_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_4_seed42_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_4_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_4_seed42_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_3_seed42_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_3_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_3_seed42_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_2_seed42_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_2_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_2_seed42_dev30_lambda0.0_random - QWK[High]__MAX","train-MLP_mlp_1_seed42_dev30_lambda0.0_random - QWK[High]","train-MLP_mlp_1_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-MLP_mlp_1_seed42_dev30_lambda0.0_random - QWK[High]__MAX"
"0","0.36548968467483856","0.36548968467483856","0.36548968467483856","0.6201497104685674","0.6201497104685674","0.6201497104685674","0.583136876920231","0.583136876920231","0.583136876920231","0.7220880613967116","0.7220880613967116","0.7220880613967116","0.6159975502372672","0.6159975502372672","0.6159975502372672","0.6070485476335568","0.6070485476335568","0.6070485476335568","0.37302120671213623","0.37302120671213623","0.37302120671213623","0.6046953922680178","0.6046953922680178","0.6046953922680178"
"1","0.46229354324448846","0.46229354324448846","0.46229354324448846","0.6265620983124728","0.6265620983124728","0.6265620983124728","0.6072700697247223","0.6072700697247223","0.6072700697247223","0.7147486456780787","0.7147486456780787","0.7147486456780787","0.6392150984132685","0.6392150984132685","0.6392150984132685","0.5204074506400087","0.5204074506400087","0.5204074506400087","0.30287721793824307","0.30287721793824307","0.30287721793824307","0.38560846451633957","0.38560846451633957","0.38560846451633957"
"2","0.4142594100787861","0.4142594100787861","0.4142594100787861","0.6799751598599958","0.6799751598599958","0.6799751598599958","0.6365345512523501","0.6365345512523501","0.6365345512523501","0.693803210254059","0.693803210254059","0.693803210254059","0.6590906087651398","0.6590906087651398","0.6590906087651398","0.5220617407061902","0.5220617407061902","0.5220617407061902","0.3827308492899879","0.3827308492899879","0.3827308492899879","0.5793082593383038","0.5793082593383038","0.5793082593383038"
"3","0.4020454822325491","0.4020454822325491","0.4020454822325491","0.5953104797469155","0.5953104797469155","0.5953104797469155","0.6493261643015023","0.6493261643015023","0.6493261643015023","0.7142758017624466","0.7142758017624466","0.7142758017624466","0.6635154312977309","0.6635154312977309","0.6635154312977309","0.5032718905055251","0.5032718905055251","0.5032718905055251","0.318751756788783","0.318751756788783","0.318751756788783","0.3970271706640772","0.3970271706640772","0.3970271706640772"
"4","0.602813412942805","0.602813412942805","0.602813412942805","0.6467213603362182","0.6467213603362182","0.6467213603362182","0.6732530490143438","0.6732530490143438","0.6732530490143438","0.632152263686715","0.632152263686715","0.632152263686715","0.6607927248995458","0.6607927248995458","0.6607927248995458","0.5112595033677334","0.5112595033677334","0.5112595033677334","0.3806008720033802","0.3806008720033802","0.3806008720033802","0.6213460805701607","0.6213460805701607","0.6213460805701607"
"5","0.3609068475024224","0.3609068475024224","0.3609068475024224","0.5819296607371522","0.5819296607371522","0.5819296607371522","0.6783892988516824","0.6783892988516824","0.6783892988516824","0.6791265659190188","0.6791265659190188","0.6791265659190188","0.646511038633637","0.646511038633637","0.646511038633637","0.45031008624170177","0.45031008624170177","0.45031008624170177","0.38374129968430615","0.38374129968430615","0.38374129968430615","0.5425110070604289","0.5425110070604289","0.5425110070604289"
"6","0.3825503541094877","0.3825503541094877","0.3825503541094877","0.5838951758610345","0.5838951758610345","0.5838951758610345","0.6645020093562892","0.6645020093562892","0.6645020093562892","0.6995254116280754","0.6995254116280754","0.6995254116280754","0.6389494168012024","0.6389494168012024","0.6389494168012024","0.33714400109578657","0.33714400109578657","0.33714400109578657","0.40074477282310883","0.40074477282310883","0.40074477282310883","0.6085926557960128","0.6085926557960128","0.6085926557960128"
"7","0.40183281872776677","0.40183281872776677","0.40183281872776677","0.5864231506080846","0.5864231506080846","0.5864231506080846","0.6588304748641407","0.6588304748641407","0.6588304748641407","0.5975831071021888","0.5975831071021888","0.5975831071021888","0.6498923782058527","0.6498923782058527","0.6498923782058527","0.21802794944602188","0.21802794944602188","0.21802794944602188","0.4167451619102224","0.4167451619102224","0.4167451619102224","0.6782999027084341","0.6782999027084341","0.6782999027084341"
"8","0.18307679332883764","0.18307679332883764","0.18307679332883764","0.5781444058396406","0.5781444058396406","0.5781444058396406","0.6176065221322735","0.6176065221322735","0.6176065221322735","0.3016372225195697","0.3016372225195697","0.3016372225195697","0.6588675055887112","0.6588675055887112","0.6588675055887112","0.2558995284286657","0.2558995284286657","0.2558995284286657","0.4254772935170704","0.4254772935170704","0.4254772935170704","0.6773958744603708","0.6773958744603708","0.6773958744603708"
"9","0.0076146292058147935","0.0076146292058147935","0.0076146292058147935","0.5672682010338903","0.5672682010338903","0.5672682010338903","0.6268154301381763","0.6268154301381763","0.6268154301381763","-0.18268466851263243","-0.18268466851263243","-0.18268466851263243","0.6683708346492534","0.6683708346492534","0.6683708346492534","0.07997999458186589","0.07997999458186589","0.07997999458186589","0.5030637236755208","0.5030637236755208","0.5030637236755208","0.6825872226316763","0.6825872226316763","0.6825872226316763"
