"Step","train-PAES_features_model_8_seed42_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_8_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_8_seed42_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_5_seed42_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_5_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_5_seed42_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_7_seed42_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_7_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_7_seed42_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_3_seed42_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_3_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_3_seed42_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_6_seed42_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_6_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_6_seed42_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_4_seed42_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_4_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_4_seed42_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_2_seed42_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_2_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_2_seed42_dev30_lambda0.0_random - QWK[High]__MAX","train-PAES_features_model_1_seed42_dev30_lambda0.0_random - QWK[High]","train-PAES_features_model_1_seed42_dev30_lambda0.0_random - QWK[High]__MIN","train-PAES_features_model_1_seed42_dev30_lambda0.0_random - QWK[High]__MAX"
"0","0.6777091977250858","0.6777091977250858","0.6777091977250858","0.6924874153399275","0.6924874153399275","0.6924874153399275","0.734455790418298","0.734455790418298","0.734455790418298","0.6105188018779","0.6105188018779","0.6105188018779","0.6144481377439038","0.6144481377439038","0.6144481377439038","0.6077407190480772","0.6077407190480772","0.6077407190480772","0.6133562759663987","0.6133562759663987","0.6133562759663987","0.7878626007308978","0.7878626007308978","0.7878626007308978"
"1","0.6233931772627237","0.6233931772627237","0.6233931772627237","0.7185199876055918","0.7185199876055918","0.7185199876055918","0.7324306547815331","0.7324306547815331","0.7324306547815331","0.5650631382571468","0.5650631382571468","0.5650631382571468","0.5494725989276923","0.5494725989276923","0.5494725989276923","0.5567594688745594","0.5567594688745594","0.5567594688745594","0.6107958914421234","0.6107958914421234","0.6107958914421234","0.7354026972536585","0.7354026972536585","0.7354026972536585"
"2","0.576582807585369","0.576582807585369","0.576582807585369","0.6809413721981096","0.6809413721981096","0.6809413721981096","0.6375712631461565","0.6375712631461565","0.6375712631461565","0.4896633332559921","0.4896633332559921","0.4896633332559921","0.5092458348324493","0.5092458348324493","0.5092458348324493","0.5481277740229517","0.5481277740229517","0.5481277740229517","0.5570568025297413","0.5570568025297413","0.5570568025297413","0.6344772887419696","0.6344772887419696","0.6344772887419696"
"3","0.6392958754050239","0.6392958754050239","0.6392958754050239","0.5630317152733466","0.5630317152733466","0.5630317152733466","0.6896833144878892","0.6896833144878892","0.6896833144878892","0.45039425978043146","0.45039425978043146","0.45039425978043146","0.4686754420122009","0.4686754420122009","0.4686754420122009","0.5506255517708729","0.5506255517708729","0.5506255517708729","0.47260879466503125","0.47260879466503125","0.47260879466503125","0.6739681970286876","0.6739681970286876","0.6739681970286876"
"4","0.672282292994361","0.672282292994361","0.672282292994361","0.5325523030917072","0.5325523030917072","0.5325523030917072","0.6548409762759206","0.6548409762759206","0.6548409762759206","0.5114218628913795","0.5114218628913795","0.5114218628913795","0.37331443463628444","0.37331443463628444","0.37331443463628444","0.55264253162711","0.55264253162711","0.55264253162711","0.5329580992765998","0.5329580992765998","0.5329580992765998","0.656288928759988","0.656288928759988","0.656288928759988"
"5","0.5503241309074123","0.5503241309074123","0.5503241309074123","0.5555516816770654","0.5555516816770654","0.5555516816770654","0.5952311970265586","0.5952311970265586","0.5952311970265586","0.29886948157854387","0.29886948157854387","0.29886948157854387","0.34631327369196707","0.34631327369196707","0.34631327369196707","0.5339201756719099","0.5339201756719099","0.5339201756719099","0.5499682267197763","0.5499682267197763","0.5499682267197763","0.6001803398070775","0.6001803398070775","0.6001803398070775"
"6","0.4021921034348763","0.4021921034348763","0.4021921034348763","0.5487085520815318","0.5487085520815318","0.5487085520815318","0.4745151681951373","0.4745151681951373","0.4745151681951373","0.22938234267767832","0.22938234267767832","0.22938234267767832","0.2813237884637009","0.2813237884637009","0.2813237884637009","0.5395328298422182","0.5395328298422182","0.5395328298422182","0.565851991207234","0.565851991207234","0.565851991207234","0.49192025266803585","0.49192025266803585","0.49192025266803585"
"7","0.41181978796073826","0.41181978796073826","0.41181978796073826","0.51066920892614","0.51066920892614","0.51066920892614","0.4245895543514354","0.4245895543514354","0.4245895543514354","0.1453295580152324","0.1453295580152324","0.1453295580152324","0.2172187230957452","0.2172187230957452","0.2172187230957452","0.5275033620428258","0.5275033620428258","0.5275033620428258","0.5074210320537607","0.5074210320537607","0.5074210320537607","0.3865547742730666","0.3865547742730666","0.3865547742730666"
"8","0.24639458834868122","0.24639458834868122","0.24639458834868122","0.50827208904943","0.50827208904943","0.50827208904943","0.40781178540521357","0.40781178540521357","0.40781178540521357","0.39956574493901265","0.39956574493901265","0.39956574493901265","0.0482998909671013","0.0482998909671013","0.0482998909671013","0.5279083341991007","0.5279083341991007","0.5279083341991007","0.44778293528714774","0.44778293528714774","0.44778293528714774","0.38165744750935826","0.38165744750935826","0.38165744750935826"
"9","0.14523526983517432","0.14523526983517432","0.14523526983517432","0.5027636876161735","0.5027636876161735","0.5027636876161735","0.39517195003596783","0.39517195003596783","0.39517195003596783","0.26874805224240017","0.26874805224240017","0.26874805224240017","0.017421360870242375","0.017421360870242375","0.017421360870242375","0.5163602901406135","0.5163602901406135","0.5163602901406135","0.3537500555070382","0.3537500555070382","0.3537500555070382","0.3294159985967241","0.3294159985967241","0.3294159985967241"
