sample_id,value
2978,0.6238563060760498
2979,0.6236165761947632
2980,0.6235067844390869
2981,0.623814582824707
2982,0.6238422393798828
2983,0.6239165663719177
2984,0.6239442229270935
2985,0.6233217716217041
2986,0.6239247918128967
2987,0.6238523125648499
2988,0.6237479448318481
2989,0.6237022280693054
2990,0.623930037021637
2991,0.6237557530403137
2992,0.6238964200019836
2993,0.6237727403640747
2994,0.6237668395042419
2995,0.6238009333610535
2996,0.6230527758598328
2997,0.6238048076629639
2998,0.6238542795181274
2999,0.6237125992774963
3000,0.6233018636703491
3001,0.623845636844635
3002,0.6236003041267395
3003,0.6239137649536133
3004,0.6238904595375061
3005,0.6239157915115356
3006,0.6237803101539612
3007,0.6237795352935791
3008,0.6238324642181396
3009,0.6237121820449829
3010,0.6239666938781738
3011,0.6238632202148438
3012,0.6237925887107849
3013,0.6238100528717041
3014,0.623923122882843
3015,0.623729944229126
3016,0.6237662434577942
3017,0.6238402128219604
3018,0.6236513257026672
3019,0.6239356994628906
3020,0.6238160729408264
3021,0.6238461136817932
3022,0.623905599117279
3023,0.6239027380943298
3024,0.6238727569580078
3025,0.6238276362419128
3026,0.6238580346107483
3027,0.6238037347793579
3028,0.623928964138031
3029,0.6235464811325073
3030,0.6238802671432495
3031,0.6238023042678833
3032,0.6238527297973633
3033,0.6238215565681458
3034,0.6238163113594055
3035,0.6238305568695068
3036,0.6237879991531372
3037,0.6238154172897339
3038,0.6239993572235107
3039,0.6238391995429993
3040,0.6236320734024048
3041,0.6238698959350586
3042,0.623952329158783
3043,0.6237143278121948
3044,0.6238114833831787
3045,0.6239087581634521
3046,0.6238268613815308
3047,0.6237555742263794
3048,0.6236372590065002
3049,0.6239411234855652
3050,0.6234252452850342
3051,0.6239404082298279
3052,0.6239330768585205
3053,0.6237586140632629
3054,0.6235124468803406
3055,0.6229518055915833
3056,0.6237682700157166
3057,0.6239345073699951
3058,0.6238425970077515
3059,0.6230946779251099
3060,0.6239267587661743
3061,0.6237877011299133
3062,0.6238065958023071
3063,0.6239116191864014
3064,0.6237307190895081
3065,0.6231157779693604
3066,0.6239438652992249
3067,0.623784065246582
3068,0.6232327222824097
3069,0.6238265037536621
3070,0.6237673759460449
3071,0.6239195466041565
3072,0.6238927245140076
3073,0.6237844228744507
3074,0.6238349080085754
3075,0.6237985491752625
3076,0.6237397789955139
3077,0.6239320635795593
3078,0.623661458492279
3079,0.6228829622268677
3080,0.6238002181053162
3081,0.6238759160041809
3082,0.623212993144989
3083,0.6237245202064514
3084,0.6225482821464539
3085,0.6235542297363281
3086,0.6239776015281677
3087,0.6237427592277527
3088,0.6230340003967285
3089,0.623793363571167
3090,0.6236960291862488
3091,0.6235652565956116
3092,0.6239597797393799
3093,0.6237749457359314
3094,0.6230453252792358
3095,0.6237391233444214
3096,0.6237709522247314
3097,0.6239367723464966
3098,0.6239800453186035
3099,0.6237817406654358
3100,0.6236675381660461
3101,0.6239595413208008
3102,0.6238393187522888
3103,0.6237869262695312
3104,0.6239377856254578
3105,0.6236485242843628
3106,0.6237930655479431
3107,0.6226061582565308
3108,0.6229707598686218
3109,0.6236207485198975
3110,0.6231733560562134
3111,0.6238403916358948
3112,0.6236239671707153
3113,0.6237279772758484
3114,0.6238545775413513
3115,0.6239327788352966
3116,0.6238327622413635
3117,0.6238054633140564
3118,0.6239050626754761
3119,0.6238277554512024
3120,0.6236111521720886
3121,0.6238804459571838
3122,0.6239189505577087
3123,0.623629093170166
3124,0.6238834261894226
3125,0.6238285303115845
3126,0.6238461136817932
3127,0.6237004995346069
3128,0.6238634586334229
3129,0.6238179802894592
3130,0.6238576173782349
3131,0.6239323019981384
3132,0.6236069202423096
3133,0.6230113506317139
3134,0.623869776725769
3135,0.623788058757782
3136,0.6239169239997864
3137,0.6237553358078003
3138,0.6238378882408142
3139,0.6228955388069153
3140,0.623910129070282
3141,0.623631477355957
3142,0.6238475441932678
3143,0.6230087876319885
3144,0.6239534020423889
3145,0.6238204836845398
3146,0.6231823563575745
3147,0.6240045428276062
3148,0.6239813566207886
3149,0.6238064169883728
3150,0.6237859129905701
3151,0.6237376928329468
3152,0.6239378452301025
3153,0.623784065246582
3154,0.6239827871322632
3155,0.6234120726585388
3156,0.6235902905464172
3157,0.6238299012184143
3158,0.6238390207290649
3159,0.623638927936554
3160,0.6237362623214722
3161,0.623721182346344
3162,0.6238300800323486
3163,0.6238871216773987
3164,0.6237180829048157
3165,0.6239445805549622
3166,0.6238154768943787
3167,0.623835027217865
3168,0.6229233741760254
3169,0.623579204082489
3170,0.623747706413269
3171,0.6239346265792847
3172,0.6237856149673462
3173,0.6236335039138794
3174,0.6237280368804932
3175,0.6237953901290894
3176,0.6238330602645874
3177,0.6236347556114197
3178,0.6239356994628906
3179,0.6238806843757629
3180,0.6235508918762207
3181,0.6237799525260925
3182,0.6238188147544861
3183,0.623733639717102
3184,0.6237390041351318
3185,0.6239027380943298
3186,0.6234959363937378
3187,0.6237683892250061
3188,0.6238709688186646
3189,0.6238669753074646
3190,0.6238869428634644
3191,0.622821569442749
3192,0.6239368915557861
3193,0.6237908005714417
3194,0.6237276196479797
3195,0.6237199306488037
3196,0.6237953901290894
3197,0.6238789558410645
3198,0.6234302520751953
3199,0.6239305734634399
3200,0.6238628029823303
3201,0.6239086985588074
3202,0.6239420771598816
3203,0.6239010691642761
3204,0.6237669587135315
3205,0.6237727999687195
3206,0.6238430738449097
3207,0.6238251328468323
3208,0.6239210963249207
3209,0.6239830851554871
3210,0.6238332986831665
3211,0.6238166093826294
3212,0.6226522326469421
3213,0.6238324642181396
3214,0.6238013505935669
3215,0.6239694952964783
3216,0.6238102316856384
3217,0.6238288879394531
3218,0.6236937046051025
3219,0.6238024830818176
3220,0.6235554814338684
3221,0.6235899329185486
3222,0.6239810585975647
3223,0.623793363571167
3224,0.6237510442733765
3225,0.6239352822303772
3226,0.6239402890205383
3227,0.623641848564148
3228,0.6238455772399902
3229,0.6239250302314758
3230,0.623845636844635
3231,0.623251736164093
3232,0.6239698529243469
3233,0.6237532496452332
3234,0.6237925887107849
3235,0.6238362193107605
3236,0.6229367256164551
3237,0.6240029335021973
3238,0.6235077977180481
3239,0.6237698793411255
3240,0.6233893632888794
3241,0.6239780187606812
3242,0.6233556270599365
3243,0.6229672431945801
3244,0.6237984895706177
3245,0.6240009069442749
3246,0.62380051612854
3247,0.6237941980361938
3248,0.6238687634468079
3249,0.6234720945358276
3250,0.6236639618873596
3251,0.6229448914527893
3252,0.6238911151885986
3253,0.623799741268158
3254,0.6238570809364319
3255,0.6236119270324707
3256,0.6238397359848022
3257,0.6238989233970642
3258,0.623820960521698
3259,0.6239981055259705
3260,0.6238127946853638
3261,0.6238211393356323
3262,0.6239013075828552
3263,0.6238132119178772
3264,0.6235976815223694
3265,0.6238282322883606
3266,0.6238335967063904
3267,0.6237644553184509
3268,0.6237552762031555
3269,0.6238638162612915
3270,0.6236813068389893
3271,0.6238276362419128
3272,0.6238458752632141
3273,0.623794436454773
3274,0.6239213943481445
3275,0.6237125396728516
3276,0.6236640214920044
3277,0.6238259673118591
3278,0.623788058757782
3279,0.6238447427749634
