sample_id,value
2978,1.937088072299958e-05
2979,-0.0002331766223534932
2980,-0.0001379389795474706
2981,-9.250292740762191e-06
2982,1.304696099832648e-05
2983,1.8044116534292604e-05
2984,9.49488340876989e-05
2985,-0.00019307010723277802
2986,3.948151553049652e-05
2987,-9.458672255277944e-07
2988,-5.515776518732312e-05
2989,-0.00010166283883154387
2990,8.058506939560163e-05
2991,0.00011219768226146626
2992,-2.5742895901203062e-05
2993,-5.1072935946285665e-05
2994,0.00018222344079986167
2995,-4.453143663704394e-05
2996,-0.0002584290018305171
2997,-8.138316217809878e-05
2998,-5.4344968404620674e-05
2999,-7.555645015090678e-05
3000,-0.00018696144120767605
3001,-2.5447361171245346e-06
3002,-7.719601113349168e-05
3003,1.633826578035942e-05
3004,6.6333254799246655e-06
3005,-3.4793857578188195e-05
3006,-0.00011305724149569826
3007,-7.010106276720713e-05
3008,-1.8092762678861483e-06
3009,-0.00011411265842616546
3010,-7.87155088968574e-05
3011,1.137999109923831e-05
3012,-4.935237243771529e-05
3013,5.6526805739849773e-05
3014,1.3583865854889113e-05
3015,-8.285348182544093e-05
3016,-5.394049957394581e-05
3017,-9.524862188845842e-06
3018,-7.244971115142072e-05
3019,4.9754929170012495e-05
3020,2.706882953643809e-05
3021,1.3086071424186193e-05
3022,2.658063955605029e-05
3023,3.475003680214269e-05
3024,1.0774711612611953e-05
3025,-5.6715122051536956e-05
3026,-1.1453195661306315e-05
3027,-4.4330041669309046e-05
3028,0.00010461182557046387
3029,-0.00010747267417609709
3030,2.0845983643084727e-05
3031,-5.990515695884818e-05
3032,-8.858313784003619e-07
3033,5.354358255863179e-06
3034,7.016902789473511e-07
3035,-0.00010598547365516383
3036,-5.154114793986073e-05
3037,0.00019332851283252158
3038,-2.1740778908133367e-05
3039,-3.234557574614875e-05
3040,-6.282167425379135e-05
3041,1.6643412131816206e-05
3042,3.2429424300789684e-05
3043,-8.600319074466774e-05
3044,-6.638340782374101e-05
3045,1.3136657793074838e-05
3046,-4.468913357704873e-05
3047,-0.00010076356846839117
3048,-9.003399712964831e-05
3049,-8.924569934606529e-07
3050,-0.00012370772771537182
3051,-2.560939267277758e-06
3052,1.1610466241836455e-05
3053,-6.904887277632938e-05
3054,-0.00010086531657725549
3055,-0.0002398631474934507
3056,-0.00010507486239075611
3057,-3.000573460012666e-05
3058,0.00011251049479469612
3059,-0.00020122028896585022
3060,3.0429482087492918e-05
3061,-6.31634079851208e-05
3062,-5.826055379584405e-05
3063,1.1523120105266469e-06
3064,-6.49858162738379e-05
3065,5.366068147122853e-05
3066,-2.9904277529567348e-05
3067,7.278330903500307e-06
3068,-0.00021420337306335549
3069,-5.390940234065256e-07
3070,-6.622200394049277e-05
3071,6.214210577309096e-06
3072,1.223556809127327e-05
3073,4.952877387404425e-06
3074,1.8475109804421708e-05
3075,1.4688030164688756e-05
3076,-8.050091993063664e-05
3077,0.00012668151836842153
3078,-4.974255487322783e-05
3079,-0.00031568419951945526
3080,3.487017937004369e-07
3081,1.4168437197804425e-05
3082,-0.00017200933452695633
3083,-0.0001301350144669413
3084,-0.0002646294910460699
3085,-0.000235997544322162
3086,-0.00010382303949445409
3087,-0.00021516193319111968
3088,-0.0002688752116635429
3089,-0.00013573749614879447
3090,-0.0001310157999396319
3091,-0.0002491328883916142
3092,-4.971481990069141e-05
3093,-5.60835072770714e-05
3094,-0.00019879739666357502
3095,-0.0001139040369540447
3096,-0.00012414409779012135
3097,9.90540741011494e-05
3098,-7.419379828497729e-05
